Date,Open,High,Low,Close,Volume,Currency
2014-06-16,1840.25,1840.25,1840.25,1840.25,19294,USD
2014-06-17,1852.0,1852.0,1852.0,1852.0,45548,USD
2014-06-18,1874.5,1874.5,1874.5,1874.5,26124,USD
2014-06-19,1890.5,1890.5,1890.5,1890.5,26663,USD
2014-06-20,1888.5,1888.5,1888.5,1888.5,18514,USD
2014-06-23,1892.5,1892.5,1892.5,1892.5,22219,USD
2014-06-24,1901.0,1901.0,1901.0,1901.0,37674,USD
2014-06-25,1903.5,1903.5,1903.5,1903.5,31266,USD
2014-06-26,1898.0,1898.0,1898.0,1898.0,20202,USD
2014-06-27,1885.0,1885.0,1885.0,1885.0,20933,USD
2014-06-30,1890.75,1890.75,1890.75,1890.75,21541,USD
2014-07-01,1884.5,1884.5,1884.5,1884.5,39694,USD
2014-07-02,1926.0,1926.0,1926.0,1926.0,45556,USD
2014-07-03,1936.0,1936.0,1936.0,1936.0,30871,USD
2014-07-04,1921.5,1921.5,1921.5,1921.5,12314,USD
2014-07-07,1919.5,1919.5,1919.5,1919.5,24446,USD
2014-07-08,1938.0,1938.0,1938.0,1938.0,51280,USD
2014-07-09,1937.75,1937.75,1937.75,1937.75,27039,USD
2014-07-10,1922.25,1922.25,1922.25,1922.25,36711,USD
2014-07-11,1939.0,1939.0,1939.0,1939.0,32129,USD
2014-07-14,1938.5,1938.5,1938.5,1938.5,40899,USD
2014-07-15,1960.0,1960.0,1960.0,1960.0,42595,USD
2014-07-16,1970.5,1970.5,1970.5,1970.5,25151,USD
2014-07-17,1990.0,1990.0,1990.0,1990.0,9674,USD
2014-07-18,1982.75,1982.75,1982.75,1982.75,14561,USD
2014-07-21,2021.0,2021.0,2021.0,2021.0,7581,USD
2014-07-22,2044.5,2044.5,2044.5,2044.5,8859,USD
2014-07-23,2017.25,2017.25,2017.25,2017.25,11748,USD
2014-07-24,2027.0,2027.0,2027.0,2027.0,12661,USD
2014-07-25,1998.0,1998.0,1998.0,1998.0,9072,USD
2014-07-28,2015.0,2015.0,2015.0,2015.0,9865,USD
2014-07-29,1981.25,1981.25,1981.25,1981.25,9277,USD
2014-07-30,2021.0,2021.0,2021.0,2021.0,11086,USD
2014-07-31,1988.5,1988.5,1988.5,1988.5,23414,USD
2014-08-01,1973.5,1973.5,1973.5,1973.5,17334,USD
2014-08-04,2025.0,2025.0,2025.0,2025.0,38842,USD
2014-08-05,2008.0,2008.0,2008.0,2008.0,61814,USD
2014-08-06,2020.0,2020.0,2020.0,2020.0,18320,USD
2014-08-07,2022.5,2022.5,2022.5,2022.5,56780,USD
2014-08-08,2020.25,2020.25,2020.25,2020.25,23683,USD
2014-08-11,2026.75,2026.75,2026.75,2026.75,26452,USD
2014-08-12,2044.25,2044.25,2044.25,2044.25,34157,USD
2014-08-13,2017.5,2017.5,2017.5,2017.5,22988,USD
2014-08-14,1988.75,1988.75,1988.75,1988.75,14358,USD
