Date,Open,High,Low,Close,Volume,Currency
1999-01-04,0.648,0.648,0.644,0.644,598,USD
1999-01-05,0.644,0.644,0.637,0.639,287,USD
1999-01-06,0.637,0.646,0.637,0.645,426,USD
1999-01-07,0.646,0.646,0.642,0.645,626,USD
1999-01-08,0.655,0.655,0.65,0.653,429,USD
1999-01-11,0.66,0.666,0.657,0.666,540,USD
1999-01-12,0.666,0.67,0.66,0.662,562,USD
1999-01-13,0.656,0.657,0.652,0.657,324,USD
1999-01-14,0.652,0.653,0.651,0.652,669,USD
1999-01-15,0.649,0.657,0.649,0.657,465,USD
1999-01-19,0.654,0.662,0.654,0.662,315,USD
1999-01-20,0.655,0.655,0.654,0.655,312,USD
1999-01-21,0.659,0.661,0.651,0.653,257,USD
1999-01-22,0.652,0.654,0.65,0.652,229,USD
1999-01-25,0.645,0.651,0.645,0.65,241,USD
1999-01-26,0.652,0.652,0.645,0.646,472,USD
1999-01-27,0.644,0.644,0.639,0.639,189,USD
1999-01-28,0.641,0.643,0.639,0.639,636,USD
1999-01-29,0.635,0.642,0.635,0.641,735,USD
1999-02-01,0.638,0.642,0.638,0.642,291,USD
1999-02-02,0.645,0.645,0.643,0.644,342,USD
1999-02-03,0.653,0.653,0.644,0.644,232,USD
1999-02-04,0.654,0.658,0.653,0.654,311,USD
1999-02-05,0.661,0.663,0.659,0.663,157,USD
1999-02-08,0.666,0.681,0.666,0.681,338,USD
1999-02-09,0.672,0.672,0.665,0.665,274,USD
1999-02-10,0.663,0.663,0.657,0.659,298,USD
1999-02-11,0.66,0.663,0.66,0.661,1008,USD
1999-02-12,0.659,0.659,0.653,0.653,517,USD
1999-02-16,0.634,0.634,0.624,0.624,241,USD
1999-02-17,0.631,0.631,0.625,0.625,223,USD
1999-02-18,0.624,0.624,0.615,0.616,260,USD
1999-02-19,0.624,0.624,0.616,0.617,203,USD
1999-02-22,0.615,0.615,0.612,0.613,201,USD
1999-02-23,0.614,0.621,0.614,0.618,378,USD
1999-02-24,0.618,0.625,0.618,0.619,247,USD
1999-02-25,0.619,0.625,0.616,0.625,10719,USD
1999-02-26,0.622,0.626,0.62,0.624,5005,USD
1999-03-01,0.624,0.624,0.616,0.616,1873,USD
1999-03-02,0.615,0.624,0.613,0.622,850,USD
1999-03-03,0.626,0.63,0.624,0.625,695,USD
1999-03-04,0.616,0.637,0.616,0.625,583,USD
1999-03-05,0.628,0.632,0.624,0.627,517,USD
1999-03-08,0.621,0.622,0.617,0.619,659,USD
1999-03-09,0.626,0.63,0.623,0.623,518,USD
1999-03-10,0.626,0.63,0.625,0.626,799,USD
1999-03-11,0.632,0.632,0.624,0.624,413,USD
1999-03-12,0.625,0.625,0.619,0.619,372,USD
1999-03-15,0.616,0.618,0.612,0.612,804,USD
1999-03-16,0.613,0.617,0.611,0.612,476,USD
1999-03-17,0.619,0.625,0.617,0.617,719,USD
1999-03-18,0.618,0.627,0.609,0.61,484,USD
1999-03-19,0.616,0.616,0.61,0.613,532,USD
1999-03-22,0.615,0.64,0.615,0.639,516,USD
1999-03-23,0.639,0.651,0.639,0.65,667,USD
1999-03-24,0.644,0.649,0.644,0.645,614,USD
1999-03-25,0.645,0.652,0.645,0.651,629,USD
1999-03-26,0.647,0.649,0.644,0.645,563,USD
1999-03-29,0.633,0.645,0.617,0.617,537,USD
1999-03-30,0.621,0.622,0.614,0.617,340,USD
1999-03-31,0.622,0.624,0.619,0.622,782,USD
1999-04-01,0.621,0.625,0.621,0.624,754,USD
1999-04-05,0.622,0.625,0.622,0.625,349,USD
1999-04-06,0.626,0.626,0.623,0.623,446,USD
1999-04-07,0.63,0.643,0.63,0.642,550,USD
1999-04-08,0.646,0.646,0.64,0.64,343,USD
1999-04-09,0.633,0.642,0.633,0.642,315,USD
1999-04-12,0.634,0.634,0.63,0.632,280,USD
1999-04-13,0.64,0.654,0.64,0.653,439,USD
1999-04-14,0.647,0.648,0.647,0.647,350,USD
1999-04-15,0.671,0.671,0.664,0.668,443,USD
1999-04-16,0.685,0.689,0.684,0.686,233,USD
1999-04-19,0.682,0.702,0.68,0.701,708,USD
1999-04-20,0.693,0.693,0.684,0.684,262,USD
1999-04-21,0.682,0.69,0.681,0.689,227,USD
1999-04-22,0.69,0.704,0.69,0.703,149,USD
1999-04-23,0.702,0.702,0.695,0.696,250,USD
1999-04-26,0.684,0.692,0.684,0.692,185,USD
1999-04-27,0.69,0.697,0.689,0.695,147,USD
1999-04-28,0.697,0.704,0.694,0.697,233,USD
1999-04-29,0.7,0.719,0.7,0.716,5531,USD
1999-04-30,0.717,0.718,0.71,0.717,1380,USD
1999-05-03,0.715,0.724,0.714,0.724,1124,USD
1999-05-04,0.724,0.724,0.715,0.718,646,USD
1999-05-05,0.715,0.715,0.709,0.713,681,USD
1999-05-06,0.722,0.727,0.718,0.719,694,USD
1999-05-07,0.719,0.719,0.712,0.715,554,USD
1999-05-10,0.717,0.718,0.71,0.715,435,USD
1999-05-11,0.705,0.715,0.701,0.714,744,USD
1999-05-12,0.714,0.714,0.702,0.702,727,USD
1999-05-13,0.706,0.709,0.704,0.709,590,USD
1999-05-14,0.701,0.712,0.697,0.712,478,USD
1999-05-17,0.703,0.707,0.702,0.707,506,USD
1999-05-18,0.708,0.708,0.694,0.701,374,USD
1999-05-19,0.693,0.695,0.679,0.681,752,USD
1999-05-20,0.68,0.683,0.672,0.673,769,USD
1999-05-21,0.673,0.676,0.665,0.665,558,USD
1999-05-24,0.667,0.669,0.664,0.666,371,USD
1999-05-25,0.669,0.672,0.666,0.667,643,USD
1999-05-26,0.667,0.668,0.659,0.659,691,USD
1999-05-27,0.658,0.658,0.627,0.628,992,USD
1999-05-28,0.619,0.626,0.608,0.624,737,USD
1999-06-01,0.626,0.632,0.626,0.631,400,USD
1999-06-02,0.62,0.621,0.62,0.62,184,USD
1999-06-03,0.621,0.621,0.616,0.621,238,USD
1999-06-04,0.628,0.63,0.618,0.618,219,USD
1999-06-07,0.624,0.628,0.623,0.628,500,USD
1999-06-08,0.628,0.634,0.625,0.633,197,USD
1999-06-09,0.633,0.638,0.633,0.635,168,USD
1999-06-10,0.634,0.645,0.634,0.637,159,USD
1999-06-11,0.636,0.646,0.636,0.643,174,USD
1999-06-14,0.641,0.647,0.64,0.646,185,USD
1999-06-15,0.637,0.637,0.63,0.63,158,USD
1999-06-16,0.63,0.63,0.627,0.628,254,USD
1999-06-17,0.63,0.631,0.626,0.63,257,USD
1999-06-18,0.637,0.652,0.637,0.652,165,USD
1999-06-21,0.652,0.658,0.652,0.658,136,USD
1999-06-22,0.654,0.665,0.65,0.661,240,USD
1999-06-23,0.66,0.66,0.655,0.658,245,USD
1999-06-24,0.66,0.663,0.66,0.661,834,USD
1999-06-25,0.66,0.691,0.66,0.69,201,USD
1999-06-28,0.699,0.699,0.698,0.699,306,USD
1999-06-29,0.695,0.71,0.695,0.708,9518,USD
1999-06-30,0.706,0.761,0.704,0.759,2005,USD
1999-07-01,0.755,0.766,0.751,0.752,856,USD
1999-07-02,0.75,0.759,0.75,0.757,980,USD
1999-07-06,0.75,0.762,0.747,0.754,895,USD
1999-07-07,0.752,0.778,0.752,0.778,820,USD
1999-07-08,0.776,0.794,0.773,0.774,676,USD
1999-07-09,0.774,0.778,0.765,0.773,976,USD
1999-07-12,0.773,0.774,0.767,0.772,397,USD
1999-07-13,0.768,0.766,0.75,0.756,492,USD
