Date,Open,High,Low,Close,Volume,Currency
2011-12-12,108.3,108.3,106.7,107.35,13019,INR
2011-12-13,107.45,108.6,106.9,107.25,15258,INR
2011-12-14,107.05,108.1,106.4,106.9,18563,INR
2011-12-15,107.2,107.5,105.7,106.1,13727,INR
2011-12-16,106.1,106.3,104.9,105.6,10414,INR
2011-12-17,105.6,105.8,105.6,105.75,355,INR
2011-12-19,105.5,105.9,104.0,104.35,13674,INR
2011-12-20,104.5,106.0,104.5,105.55,11746,INR
2011-12-21,105.8,106.0,103.7,104.65,16690,INR
2011-12-22,104.7,105.6,104.0,105.5,13996,INR
2011-12-23,105.45,106.3,105.3,105.8,9477,INR
2011-12-24,105.8,105.8,105.6,105.65,175,INR
2011-12-26,105.95,106.1,105.7,105.8,986,INR
2011-12-27,105.5,105.7,104.9,105.55,1738,INR
2011-12-28,105.5,106.5,105.1,105.35,9285,INR
2011-12-29,105.5,105.8,104.7,105.1,6267,INR
2011-12-30,105.5,105.6,104.8,105.05,2951,INR
2011-12-31,107.1,107.2,106.9,106.95,210,INR
2012-01-02,107.2,107.2,106.9,107.15,630,INR
2012-01-03,107.2,109.5,107.2,109.1,12791,INR
2012-01-04,109.1,110.0,108.4,108.8,14081,INR
2012-01-05,108.7,108.7,107.1,107.45,11678,INR
2012-01-06,107.5,108.4,107.0,108.3,9247,INR
2012-01-07,108.35,108.4,108.1,108.25,278,INR
2012-01-09,107.95,110.7,107.6,110.05,19132,INR
2012-01-10,109.85,111.2,109.4,110.95,17270,INR
2012-01-11,110.85,111.8,110.6,111.6,13173,INR
2012-01-12,111.35,112.8,110.2,110.5,16801,INR
2012-01-13,110.3,110.6,109.1,109.9,12384,INR
2012-01-14,110.0,110.1,109.9,110.0,287,INR
2012-01-16,109.65,110.6,109.6,110.5,9320,INR
2012-01-17,110.5,112.2,110.3,111.6,17437,INR
2012-01-18,111.4,111.6,109.9,110.2,15161,INR
2012-01-19,110.4,111.4,110.2,110.9,12003,INR
2012-01-20,110.8,111.3,109.8,110.1,11249,INR
2012-01-21,110.15,110.3,110.1,110.15,151,INR
2012-01-23,109.9,110.8,109.6,110.55,8583,INR
2012-01-24,110.6,111.1,110.1,110.8,8511,INR
2012-01-25,111.0,111.6,110.2,111.1,9796,INR
2012-01-27,111.15,111.4,109.3,110.35,9299,INR
2012-01-28,110.15,110.6,110.2,110.25,281,INR
2012-01-30,109.9,111.5,108.9,111.15,7736,INR
2012-01-31,111.15,113.0,111.0,112.5,4084,INR
2012-02-01,111.25,112.0,109.9,111.25,15464,INR
2012-02-02,111.1,111.3,107.6,108.0,17199,INR
2012-02-03,108.2,109.1,107.0,109.05,16094,INR
2012-02-04,108.9,109.1,108.8,109.0,357,INR
2012-02-06,109.1,109.5,108.0,108.2,13124,INR
2012-02-07,108.1,110.3,107.3,109.9,18558,INR
2012-02-08,109.75,111.6,109.5,109.9,15272,INR
2012-02-09,109.85,112.2,109.9,111.7,20008,INR
2012-02-10,111.7,112.2,110.1,110.4,14776,INR
2012-02-11,110.4,111.0,110.4,110.75,745,INR
2012-02-13,110.5,110.6,108.1,108.3,16696,INR
2012-02-14,108.0,108.8,107.4,108.5,15614,INR
2012-02-15,108.6,109.2,107.5,107.7,14609,INR
2012-02-16,107.4,107.6,105.7,106.1,15297,INR
2012-02-17,106.5,106.6,104.9,105.05,13072,INR
2012-02-18,104.95,105.4,105.0,105.3,400,INR
2012-02-20,105.7,106.2,105.3,106.0,4852,INR
2012-02-21,106.2,108.9,106.2,108.8,16398,INR
2012-02-22,108.9,110.6,108.8,110.3,16333,INR
2012-02-23,110.25,110.7,109.4,110.0,10862,INR
2012-02-24,109.75,111.9,109.4,111.65,11562,INR
2012-02-25,111.8,111.9,111.5,111.55,438,INR
2012-02-27,111.25,112.9,111.2,112.4,10899,INR
2012-02-28,112.5,113.3,111.7,112.1,8333,INR
2012-02-29,112.0,113.1,112.0,112.65,4138,INR
2012-03-01,113.5,115.0,112.6,114.7,18076,INR
2012-03-02,115.0,115.7,114.2,114.3,16477,INR
2012-03-03,114.4,114.5,114.2,114.35,460,INR
2012-03-05,114.6,114.7,112.5,113.2,17403,INR
2012-03-06,113.05,113.4,111.8,112.1,12709,INR
2012-03-07,112.3,112.7,110.3,110.55,15814,INR
2012-03-08,110.65,110.8,109.8,110.0,6409,INR
2012-03-09,110.25,110.8,109.3,110.6,13128,INR
2012-03-10,110.8,110.9,110.5,110.65,718,INR
2012-03-12,110.7,111.0,109.9,110.45,11069,INR
2012-03-13,110.65,111.7,110.6,111.6,7574,INR
2012-03-14,111.5,111.7,110.3,110.85,10792,INR
2012-03-15,110.6,111.9,110.2,111.75,10518,INR
2012-03-16,111.9,112.7,111.6,112.1,12696,INR
