Date,Open,High,Low,Close,Volume,Currency
2013-04-17,102.6,102.6,100.5,101.6,18579,INR
2013-04-18,101.2,102.5,99.8,102.4,14800,INR
2013-04-19,101.65,101.9,100.5,100.6,9360,INR
2013-04-22,101.1,101.5,100.1,101.35,11945,INR
2013-04-23,100.95,102.4,100.6,101.5,12193,INR
2013-04-24,101.85,102.3,101.7,102.05,6401,INR
2013-04-25,102.2,103.8,102.0,103.7,11712,INR
2013-04-26,103.35,103.8,100.3,100.45,12863,INR
2013-04-29,100.2,101.0,99.8,100.7,8515,INR
2013-04-30,100.65,101.1,100.1,100.15,6050,INR
2013-05-01,99.25,99.3,97.0,97.2,9762,INR
2013-05-02,97.9,98.7,96.7,97.3,13534,INR
2013-05-03,97.95,100.8,98.0,100.75,17836,INR
2013-05-06,100.55,101.3,100.3,100.9,3732,INR
2013-05-07,101.15,101.7,99.9,101.05,14283,INR
2013-05-08,100.85,103.2,100.7,102.4,17004,INR
2013-05-09,102.05,102.9,101.7,102.2,12237,INR
2013-05-10,102.3,103.2,101.2,102.15,13570,INR
2013-05-13,102.25,102.8,100.8,101.7,11700,INR
2013-05-14,101.35,101.7,100.6,101.05,12138,INR
2013-05-15,101.05,101.3,99.1,100.2,14820,INR
2013-05-16,100.3,100.8,99.6,100.65,11018,INR
2013-05-17,100.95,101.8,100.7,101.35,10710,INR
2013-05-20,100.8,101.8,100.1,101.4,9691,INR
2013-05-21,101.25,102.7,101.2,101.5,9811,INR
2013-05-22,101.8,103.5,101.8,103.35,11720,INR
2013-05-23,103.0,103.0,101.6,101.8,11343,INR
2013-05-24,101.75,102.1,101.0,101.15,8547,INR
2013-05-27,101.15,101.3,100.8,101.05,1650,INR
2013-05-28,100.8,102.4,100.8,102.0,10739,INR
2013-05-29,102.25,103.4,101.9,103.1,9792,INR
2013-05-30,102.8,105.9,102.5,105.65,9698,INR
2013-05-31,106.0,106.4,105.3,105.9,5363,INR
2013-06-03,106.65,109.0,106.7,107.8,9899,INR
2013-06-04,107.5,109.1,107.5,108.95,9852,INR
2013-06-05,109.3,111.6,109.3,110.9,14730,INR
2013-06-06,110.6,111.0,109.8,110.3,13387,INR
2013-06-07,110.45,111.5,109.3,109.35,16706,INR
2013-06-10,109.1,111.2,109.1,110.4,11962,INR
2013-06-11,111.0,112.0,108.2,108.3,14214,INR
2013-06-12,108.4,108.8,106.3,106.55,13878,INR
2013-06-13,106.7,108.0,105.7,106.2,12259,INR
2013-06-14,106.2,106.5,105.0,105.55,11024,INR
2013-06-17,105.8,106.2,104.4,105.4,11889,INR
2013-06-18,105.7,106.6,105.5,106.5,11374,INR
2013-06-19,106.4,106.6,105.3,105.6,9251,INR
2013-06-20,106.0,106.8,104.8,105.7,13317,INR
2013-06-21,105.45,105.6,103.7,104.95,13716,INR
2013-06-24,104.65,104.7,103.3,103.75,11402,INR
2013-06-25,103.45,105.0,103.0,103.75,14261,INR
2013-06-26,103.5,105.6,103.5,105.2,12890,INR
2013-06-27,105.25,105.4,103.3,103.6,10608,INR
2013-06-28,103.3,103.7,102.9,103.15,5966,INR
2013-07-01,105.0,107.4,104.6,107.2,7813,INR
2013-07-02,107.0,109.0,107.0,107.75,7398,INR
2013-07-03,108.2,109.4,107.7,107.8,6899,INR
2013-07-04,107.5,108.3,107.3,107.5,3366,INR
2013-07-05,107.6,107.9,106.4,106.8,5554,INR
2013-07-08,107.2,108.2,106.1,107.9,5609,INR
2013-07-09,107.6,107.6,105.7,106.2,6851,INR
2013-07-10,106.1,107.7,105.6,107.55,5883,INR
2013-07-11,107.3,108.9,107.3,108.1,8845,INR
2013-07-12,107.75,109.2,107.3,108.65,6948,INR
2013-07-15,108.6,109.1,105.2,105.45,9779,INR
2013-07-16,105.55,106.1,104.5,105.2,7939,INR
2013-07-17,105.45,106.6,105.1,105.4,9188,INR
2013-07-18,105.65,106.2,105.0,105.9,5688,INR
2013-07-19,106.15,107.0,105.5,106.45,6773,INR
2013-07-22,106.55,108.3,106.3,107.45,7327,INR
2013-07-23,107.85,108.5,107.2,107.4,6484,INR
2013-07-24,107.0,107.5,106.4,107.3,5994,INR
2013-07-25,106.8,106.9,104.9,105.5,7100,INR
