Date,Open,High,Low,Close,Volume,Currency
2011-12-20,390.0,398.4,389.3,396.35,64376,INR
2011-12-21,396.5,401.4,394.0,398.05,68445,INR
2011-12-22,397.5,401.5,396.3,400.65,60812,INR
2011-12-23,401.5,407.7,401.5,407.25,45734,INR
2011-12-24,407.05,407.7,406.6,407.05,2049,INR
2011-12-26,407.6,408.7,405.9,407.15,6635,INR
2011-12-27,406.55,406.6,401.6,403.25,36510,INR
2011-12-28,403.1,406.7,398.8,399.55,51690,INR
2011-12-29,398.75,402.0,394.8,399.95,47410,INR
2011-12-30,401.0,407.9,400.5,406.15,39979,INR
2011-12-31,405.8,406.6,405.7,406.0,1911,INR
2012-01-02,405.95,408.0,404.9,407.75,8112,INR
2012-01-03,408.0,415.3,408.0,413.9,54167,INR
2012-01-04,413.3,413.3,402.8,403.6,68859,INR
2012-01-05,403.95,407.1,398.5,402.4,76578,INR
2012-01-06,403.0,404.0,398.6,402.3,56517,INR
2012-01-07,401.95,402.3,401.7,401.9,1382,INR
2012-01-09,401.65,401.7,397.0,399.0,57283,INR
2012-01-10,399.05,404.3,397.6,403.9,53791,INR
2012-01-11,403.2,407.9,401.8,407.4,63426,INR
2012-01-12,407.35,418.9,406.0,416.75,89914,INR
2012-01-13,416.0,420.3,411.3,415.85,84310,INR
2012-01-14,416.7,417.6,415.0,416.0,2338,INR
2012-01-16,415.0,419.7,414.2,418.55,52881,INR
2012-01-17,419.45,424.4,418.3,419.65,72239,INR
2012-01-18,420.3,421.4,416.4,419.0,71235,INR
2012-01-19,419.6,425.7,419.6,424.0,66950,INR
2012-01-20,424.75,426.6,416.6,417.3,83632,INR
2012-01-21,417.9,418.3,416.9,418.05,2754,INR
2012-01-23,417.5,423.0,415.3,421.2,61685,INR
2012-01-24,420.8,422.8,417.7,422.45,62095,INR
2012-01-25,422.75,425.0,418.8,423.2,63294,INR
2012-01-27,424.0,430.3,424.0,425.55,68493,INR
2012-01-28,425.6,426.0,424.1,425.7,1949,INR
2012-01-30,425.0,425.0,418.3,421.2,62437,INR
2012-01-31,421.55,424.3,415.6,417.2,67205,INR
2012-02-01,417.05,419.1,413.6,418.7,72688,INR
2012-02-02,418.1,418.3,410.4,411.7,78847,INR
2012-02-03,412.5,420.0,409.7,419.45,81517,INR
2012-02-04,419.5,420.9,419.0,419.35,2633,INR
2012-02-06,418.6,420.5,416.7,418.85,53989,INR
2012-02-07,418.55,421.8,414.6,421.3,71716,INR
2012-02-08,421.85,427.8,421.4,424.9,69460,INR
2012-02-09,424.1,434.6,423.8,434.1,87459,INR
2012-02-10,433.35,434.7,423.2,424.2,79224,INR
2012-02-11,423.55,424.9,423.3,424.45,2393,INR
2012-02-13,424.75,425.6,416.8,418.9,59501,INR
2012-02-14,418.5,420.6,414.6,417.6,60294,INR
2012-02-15,418.2,421.3,414.3,415.5,66003,INR
2012-02-16,415.2,415.9,410.1,414.85,63290,INR
2012-02-17,415.95,416.9,403.5,405.0,70747,INR
2012-02-18,405.25,406.5,405.1,406.1,3501,INR
2012-02-20,406.95,409.4,405.0,407.6,22185,INR
2012-02-21,408.2,416.0,408.2,415.7,67815,INR
2012-02-22,416.0,418.4,413.4,417.15,61827,INR
2012-02-23,416.8,416.8,410.6,412.95,53915,INR
2012-02-24,412.3,419.8,409.8,418.05,66941,INR
2012-02-25,417.3,417.8,417.0,417.2,1868,INR
2012-02-27,417.0,421.3,415.5,420.65,49444,INR
2012-02-28,420.25,426.9,419.0,422.35,40226,INR
2012-02-29,421.7,426.5,409.7,417.7,20140,INR
2012-03-01,425.0,432.1,422.4,430.75,72831,INR
2012-03-02,431.3,434.4,430.2,431.5,62361,INR
2012-03-03,431.35,432.5,431.0,431.65,1703,INR
2012-03-05,432.0,433.5,426.4,428.65,60143,INR
2012-03-06,428.25,428.5,421.7,422.15,60798,INR
2012-03-07,422.85,425.0,418.0,421.85,71493,INR
2012-03-08,422.4,425.3,421.8,422.5,25180,INR
2012-03-09,423.4,429.0,421.4,427.1,69443,INR
2012-03-10,426.25,426.9,426.3,426.45,2338,INR
2012-03-12,427.05,428.4,425.3,427.4,54591,INR
2012-03-13,428.0,433.5,428.0,432.2,59943,INR
2012-03-14,431.4,431.9,427.6,429.05,54017,INR
2012-03-15,428.4,435.0,426.6,434.55,73455,INR
2012-03-16,433.7,438.2,431.3,432.1,69981,INR
2012-03-17,432.5,432.6,431.9,432.2,1658,INR
2012-03-19,432.0,435.8,429.8,434.85,60222,INR
2012-03-20,434.0,434.8,428.5,430.4,75217,INR
2012-03-21,430.7,433.4,430.3,431.0,59173,INR
2012-03-22,430.7,430.8,428.1,429.9,57441,INR
2012-03-23,430.1,433.6,428.9,432.05,60799,INR
2012-03-24,432.1,432.6,432.0,432.1,1308,INR
2012-03-26,432.5,440.4,432.5,440.05,72058,INR
2012-03-27,439.5,439.7,434.8,437.25,65513,INR
2012-03-28,436.7,436.8,429.4,430.7,68172,INR
2012-03-29,430.6,433.4,428.7,431.75,66177,INR
2012-03-30,431.9,433.9,430.8,431.25,41348,INR
2012-03-31,431.3,431.9,431.2,431.65,1545,INR
2012-04-02,431.9,440.2,431.9,439.0,63743,INR
2012-04-03,438.7,442.0,437.3,438.35,60285,INR
2012-04-04,438.0,438.0,430.3,430.8,67496,INR
2012-04-05,430.65,433.1,429.4,430.05,28217,INR
2012-04-07,429.5,431.2,429.5,430.95,2748,INR
2012-04-09,430.5,431.5,422.1,422.75,67364,INR
2012-04-10,423.0,426.5,417.6,418.4,88835,INR
2012-04-11,418.25,418.9,415.0,415.65,72214,INR
