Date,Open,High,Low,Close,Volume,Currency
2011-12-12,411.5,411.5,405.6,407.95,150430,INR
2011-12-13,408.45,411.5,407.3,408.25,138756,INR
2011-12-14,407.7,407.7,394.7,397.75,185118,INR
2011-12-15,398.0,398.5,387.9,390.7,171978,INR
2011-12-16,388.0,395.6,386.1,391.6,150275,INR
2011-12-17,392.0,393.5,392.0,393.2,3389,INR
2011-12-19,391.9,392.7,387.2,391.05,118637,INR
2011-12-20,390.65,398.4,389.3,396.35,158340,INR
2011-12-21,396.45,401.4,394.0,398.1,167558,INR
2011-12-22,398.2,401.7,396.3,400.65,129337,INR
2011-12-23,401.5,407.7,401.5,407.25,99632,INR
2011-12-24,407.05,407.7,406.7,407.0,3652,INR
2011-12-26,407.7,407.7,405.9,407.15,12502,INR
2011-12-27,406.55,406.6,401.7,403.2,72398,INR
2011-12-28,403.2,406.8,398.8,399.55,111140,INR
2011-12-29,399.95,402.0,394.9,400.05,106933,INR
2011-12-30,401.3,407.9,400.5,406.2,88129,INR
2011-12-31,405.7,407.0,405.7,406.0,3067,INR
2012-01-02,405.95,408.0,404.9,407.8,14106,INR
2012-01-03,408.4,415.3,408.4,413.9,124532,INR
2012-01-04,413.0,413.0,402.8,403.55,162680,INR
2012-01-05,403.8,407.1,398.6,402.4,179759,INR
2012-01-06,402.5,404.0,398.6,402.3,121208,INR
2012-01-07,402.05,402.3,401.7,401.9,2244,INR
2012-01-09,401.75,401.8,397.0,399.05,120305,INR
2012-01-10,398.5,404.4,397.7,403.95,118970,INR
2012-01-11,403.0,407.9,401.8,407.45,135821,INR
2012-01-12,406.95,418.8,406.0,416.8,213762,INR
2012-01-13,415.8,420.2,411.3,415.85,187283,INR
2012-01-14,416.05,417.6,415.4,415.95,3805,INR
2012-01-16,415.25,419.8,414.2,418.6,108842,INR
2012-01-17,419.4,424.4,418.3,419.7,157992,INR
2012-01-18,419.0,421.5,416.4,419.0,160722,INR
2012-01-19,419.45,425.7,419.5,424.0,144481,INR
2012-01-20,424.8,426.6,416.5,417.25,171408,INR
2012-01-21,417.15,418.4,417.2,418.1,3505,INR
2012-01-23,418.4,423.0,415.3,421.15,127060,INR
2012-01-24,420.25,422.8,417.7,422.45,123914,INR
2012-01-25,423.0,425.0,418.8,423.15,130099,INR
2012-01-27,424.0,430.3,424.0,425.55,146700,INR
2012-01-28,424.55,426.5,424.5,425.65,2678,INR
2012-01-30,425.1,425.1,418.3,421.2,134281,INR
2012-01-31,421.55,424.3,415.7,417.15,147700,INR
2012-02-01,417.0,419.1,413.6,418.7,150548,INR
2012-02-02,417.6,418.3,410.4,411.7,155528,INR
2012-02-03,412.1,420.0,409.7,419.5,168767,INR
2012-02-04,420.0,420.8,419.2,419.35,3736,INR
2012-02-06,419.2,420.5,416.7,418.85,107069,INR
2012-02-07,418.5,421.9,414.6,421.25,139252,INR
2012-02-08,422.0,427.7,421.4,424.9,135514,INR
