Date,Open,High,Low,Close,Volume,Currency
2011-12-19,27612.0,27795.0,27500.0,27692.0,41775,INR
2011-12-20,27685.0,27905.0,27652.0,27867.0,36711,INR
2011-12-21,27920.0,28106.0,27733.0,27809.0,51102,INR
2011-12-22,27751.0,27806.0,27591.0,27698.0,42330,INR
2011-12-23,27747.0,27820.0,27721.0,27779.0,23566,INR
2011-12-24,27783.0,27804.0,27775.0,27796.0,1272,INR
2011-12-26,27785.0,27789.0,27741.0,27779.0,3471,INR
2011-12-27,27744.0,27744.0,27534.0,27651.0,19331,INR
2011-12-28,27626.0,27720.0,27150.0,27281.0,41724,INR
2011-12-29,27201.0,27218.0,26517.0,26836.0,72684,INR
2011-12-30,26941.0,27523.0,26941.0,27441.0,52386,INR
2011-12-31,27410.0,27410.0,27310.0,27329.0,2314,INR
2012-01-02,27300.0,27414.0,27271.0,27382.0,6445,INR
2012-01-03,27448.0,27779.0,27414.0,27656.0,54038,INR
2012-01-04,27701.0,27888.0,27540.0,27852.0,62804,INR
2012-01-05,27812.0,27875.0,27540.0,27821.0,64060,INR
2012-01-06,27830.0,27945.0,27652.0,27755.0,55677,INR
2012-01-07,27764.0,27768.0,27732.0,27762.0,1287,INR
2012-01-09,27737.0,27757.0,27551.0,27578.0,39524,INR
2012-01-10,27538.0,27639.0,27476.0,27537.0,49303,INR
2012-01-11,27595.0,27736.0,27585.0,27657.0,37308,INR
2012-01-12,27689.0,27816.0,27632.0,27665.0,35570,INR
2012-01-13,27600.0,27600.0,27390.0,27427.0,46660,INR
2012-01-14,27450.0,27540.0,27450.0,27507.0,2227,INR
2012-01-16,27540.0,27591.0,27463.0,27484.0,22236,INR
2012-01-17,27519.0,27778.0,27495.0,27588.0,48937,INR
2012-01-18,27550.0,27582.0,27327.0,27475.0,48561,INR
2012-01-19,27490.0,27569.0,27308.0,27347.0,40116,INR
2012-01-20,27365.0,27492.0,27222.0,27448.0,43479,INR
2012-01-21,27488.0,27524.0,27475.0,27490.0,2365,INR
2012-01-23,27489.0,27594.0,27408.0,27510.0,33663,INR
2012-01-24,27487.0,27533.0,27342.0,27383.0,30344,INR
2012-01-25,27394.0,27655.0,27170.0,27589.0,43882,INR
2012-01-27,27580.0,28084.0,27580.0,27957.0,41194,INR
2012-01-28,27991.0,28013.0,27975.0,27990.0,2051,INR
2012-01-30,28030.0,28094.0,27845.0,28059.0,28403,INR
2012-01-31,28100.0,28199.0,28044.0,28078.0,20345,INR
2012-02-01,28125.0,28200.0,28040.0,28083.0,3527,INR
2012-02-02,28045.0,28244.0,27997.0,28155.0,1205,INR
2012-02-03,28151.0,28233.0,27445.0,27711.0,463,INR
2012-02-04,27525.0,27765.0,27500.0,27627.0,41,INR
2012-02-06,27990.0,28030.0,27808.0,27936.0,36872,INR
2012-02-07,27951.0,28404.0,27870.0,28373.0,50074,INR
2012-02-08,28385.0,28434.0,28125.0,28176.0,40843,INR
2012-02-09,28197.0,28511.0,28197.0,28357.0,42403,INR
2012-02-10,28367.0,28418.0,28047.0,28274.0,41854,INR
2012-02-11,28249.0,28285.0,28222.0,28259.0,1362,INR
2012-02-13,28240.0,28240.0,28018.0,28119.0,35898,INR
2012-02-14,28062.0,28218.0,27958.0,28085.0,39749,INR
2012-02-15,28082.0,28271.0,28051.0,28170.0,35628,INR
2012-02-16,28138.0,28209.0,28030.0,28127.0,35098,INR
2012-02-17,28155.0,28205.0,28025.0,28067.0,27111,INR
2012-02-18,28079.0,28115.0,28067.0,28100.0,1141,INR
2012-02-20,28120.0,28174.0,28120.0,28158.0,6193,INR
2012-02-21,28149.0,28435.0,28137.0,28380.0,38016,INR
2012-02-22,28440.0,28728.0,28430.0,28646.0,35575,INR
2012-02-23,28750.0,28944.0,28723.0,28913.0,40181,INR
2012-02-24,28849.0,28849.0,28633.0,28669.0,37526,INR
2012-02-25,28630.0,28686.0,28629.0,28664.0,1515,INR
2012-02-27,28696.0,28828.0,28631.0,28740.0,33826,INR
2012-02-28,28701.0,28938.0,28661.0,28875.0,37172,INR
2012-02-29,28876.0,28923.0,27752.0,27952.0,76001,INR
2012-03-01,27948.0,28022.0,27730.0,27925.0,52554,INR
2012-03-02,28000.0,28080.0,27929.0,27985.0,33156,INR
2012-03-03,28000.0,28029.0,28000.0,28023.0,1416,INR
2012-03-05,28045.0,28114.0,27865.0,27948.0,38016,INR
2012-03-06,28029.0,28049.0,27750.0,27847.0,47504,INR
2012-03-07,27900.0,27972.0,27793.0,27891.0,32372,INR
2012-03-08,27999.0,28028.0,27906.0,27972.0,15704,INR
2012-03-09,28008.0,28048.0,27580.0,27995.0,53173,INR
2012-03-10,28018.0,28020.0,27974.0,27982.0,1330,INR
2012-03-12,28015.0,28084.0,27902.0,27972.0,33815,INR
2012-03-13,27958.0,27958.0,27760.0,27832.0,36844,INR
2012-03-14,27801.0,27801.0,27402.0,27443.0,60569,INR
2012-03-15,27400.0,27730.0,27312.0,27704.0,39045,INR
2012-03-16,27725.0,28535.0,27402.0,27851.0,60442,INR
2012-03-17,27851.0,27884.0,27819.0,27870.0,1425,INR
2012-03-19,27899.0,27974.0,27772.0,27901.0,27328,INR
2012-03-20,27867.0,27910.0,27741.0,27804.0,31288,INR
