Date,Open,High,Low,Close,Volume,Currency
2011-12-19,27486.0,27660.0,27373.0,27559.0,67025,INR
2011-12-20,27540.0,27770.0,27522.0,27734.0,49629,INR
2011-12-21,27774.0,27960.0,27601.0,27661.0,73377,INR
2011-12-22,27600.0,27658.0,27459.0,27552.0,58808,INR
2011-12-23,27580.0,27674.0,27577.0,27632.0,29897,INR
2011-12-24,27638.0,27660.0,27633.0,27645.0,2317,INR
2011-12-26,27641.0,27643.0,27594.0,27621.0,6838,INR
2011-12-27,27601.0,27601.0,27391.0,27489.0,29318,INR
2011-12-28,27450.0,27554.0,26978.0,27108.0,52154,INR
2011-12-29,27091.0,27091.0,26342.0,26666.0,78700,INR
2011-12-30,26753.0,27316.0,26753.0,27244.0,48937,INR
2011-12-31,27200.0,27200.0,27080.0,27106.0,9057,INR
2012-01-02,27040.0,27189.0,27040.0,27110.0,11994,INR
2012-01-03,27181.0,27562.0,27181.0,27452.0,5937,INR
2012-01-04,27540.0,27796.0,27381.0,27732.0,5504,INR
2012-01-05,27627.0,27745.0,27423.0,27652.0,1194,INR
2012-01-06,27850.0,27950.0,27662.0,27763.0,109073,INR
2012-01-07,27760.0,27779.0,27736.0,27770.0,3487,INR
2012-01-09,27730.0,27764.0,27562.0,27590.0,83130,INR
2012-01-10,27560.0,27650.0,27495.0,27555.0,92374,INR
2012-01-11,27602.0,27747.0,27602.0,27674.0,73752,INR
2012-01-12,27708.0,27829.0,27650.0,27681.0,67263,INR
2012-01-13,27640.0,27640.0,27414.0,27452.0,86111,INR
2012-01-14,27500.0,27564.0,27489.0,27526.0,5284,INR
2012-01-16,27539.0,27605.0,27480.0,27506.0,37058,INR
2012-01-17,27549.0,27789.0,27509.0,27607.0,83292,INR
2012-01-18,27580.0,27599.0,27358.0,27499.0,95702,INR
2012-01-19,27536.0,27585.0,27335.0,27378.0,76654,INR
2012-01-20,27410.0,27519.0,27253.0,27471.0,85295,INR
2012-01-21,27500.0,27550.0,27499.0,27513.0,6147,INR
2012-01-23,27513.0,27617.0,27430.0,27527.0,68692,INR
2012-01-24,27500.0,27550.0,27372.0,27409.0,61911,INR
2012-01-25,27401.0,27665.0,27200.0,27598.0,91641,INR
2012-01-27,27603.0,28031.0,27595.0,27948.0,97662,INR
2012-01-28,27972.0,27999.0,27871.0,27976.0,6060,INR
2012-01-30,27971.0,28074.0,27844.0,28042.0,61806,INR
2012-01-31,28066.0,28189.0,28046.0,28078.0,46763,INR
2012-02-01,28100.0,28200.0,28040.0,28054.0,13125,INR
2012-02-02,28050.0,28219.0,27991.0,28139.0,4140,INR
2012-02-03,28186.0,28206.0,27601.0,27651.0,1827,INR
2012-02-04,27540.0,27648.0,27499.0,27566.0,247,INR
2012-02-06,27800.0,27888.0,27661.0,27780.0,61342,INR
2012-02-07,27780.0,28208.0,27708.0,28182.0,82193,INR
2012-02-08,28207.0,28239.0,27954.0,27998.0,67154,INR
2012-02-09,28010.0,28313.0,28010.0,28172.0,67820,INR
2012-02-10,28189.0,28228.0,27863.0,28082.0,81494,INR
2012-02-11,28097.0,28097.0,28035.0,28069.0,3547,INR
2012-02-13,28075.0,28089.0,27821.0,27927.0,57504,INR
2012-02-14,27901.0,27992.0,27763.0,27873.0,64439,INR
2012-02-15,27884.0,28044.0,27836.0,27951.0,51061,INR
2012-02-16,27941.0,27985.0,27820.0,27914.0,45310,INR
2012-02-17,27948.0,27995.0,27836.0,27868.0,35530,INR
2012-02-18,27888.0,27920.0,27868.0,27894.0,2736,INR
2012-02-20,27925.0,27978.0,27851.0,27946.0,7877,INR
2012-02-21,27955.0,28188.0,27911.0,28145.0,49319,INR
2012-02-22,28180.0,28479.0,28180.0,28391.0,49533,INR
2012-02-23,28480.0,28705.0,28455.0,28678.0,54366,INR
2012-02-24,28610.0,28610.0,28421.0,28448.0,42904,INR
2012-02-25,28420.0,28465.0,28392.0,28447.0,3327,INR
2012-02-27,28476.0,28600.0,28412.0,28521.0,37513,INR
2012-02-28,28500.0,28699.0,28450.0,28638.0,27265,INR
2012-02-29,28609.0,28692.0,27541.0,27733.0,48380,INR
2012-03-01,27801.0,27801.0,27413.0,27592.0,14216,INR
2012-03-02,27686.0,27826.0,27600.0,27723.0,2476,INR
2012-03-03,27785.0,27807.0,27700.0,27775.0,308,INR
2012-03-05,27901.0,28039.0,27650.0,27747.0,1010,INR
2012-03-06,28025.0,28066.0,27774.0,27871.0,88994,INR
2012-03-07,27930.0,27994.0,27820.0,27916.0,62024,INR
2012-03-08,27924.0,28045.0,27924.0,27995.0,25292,INR
2012-03-09,28010.0,28070.0,27612.0,28018.0,111109,INR
2012-03-10,28035.0,28044.0,27996.0,28003.0,4510,INR
2012-03-12,28021.0,28113.0,27925.0,27994.0,74463,INR
2012-03-13,27989.0,27989.0,27788.0,27856.0,73267,INR
2012-03-14,27825.0,27825.0,27436.0,27478.0,127017,INR
2012-03-15,27485.0,27749.0,27360.0,27720.0,90587,INR
2012-03-16,27725.0,28552.0,27400.0,27852.0,121092,INR
2012-03-17,27880.0,27888.0,27824.0,27874.0,4126,INR
2012-03-19,27893.0,27968.0,27777.0,27901.0,61026,INR
2012-03-20,27897.0,27911.0,27752.0,27807.0,63187,INR
2012-03-21,27850.0,27933.0,27811.0,27846.0,57131,INR
2012-03-22,27870.0,27925.0,27787.0,27906.0,67665,INR
2012-03-23,27927.0,28140.0,27868.0,28117.0,64895,INR
2012-03-24,28101.0,28121.0,28090.0,28097.0,3501,INR
2012-03-26,28119.0,28397.0,28095.0,28371.0,74076,INR
2012-03-27,28399.0,28435.0,28245.0,28290.0,61816,INR
2012-03-28,28284.0,28286.0,28117.0,28144.0,48893,INR
2012-03-29,28154.0,28240.0,28092.0,28202.0,44942,INR
2012-03-30,28199.0,28234.0,28102.0,28138.0,34711,INR
2012-03-31,28131.0,28144.0,27998.0,28040.0,12273,INR
2012-04-02,28010.0,28110.0,27906.0,28019.0,17129,INR
2012-04-03,27951.0,28107.0,27951.0,28012.0,2365,INR
2012-04-04,27902.0,27930.0,27500.0,27592.0,1751,INR
2012-04-05,27875.0,27975.0,27871.0,27930.0,20570,INR
2012-04-07,27945.0,28046.0,27921.0,28038.0,6042,INR
2012-04-09,28050.0,28209.0,28050.0,28154.0,51596,INR
2012-04-10,28190.0,28450.0,28132.0,28428.0,62184,INR
2012-04-11,28401.0,28474.0,28350.0,28394.0,40996,INR
2012-04-12,28362.0,28545.0,28315.0,28519.0,45928,INR
2012-04-13,28502.0,28589.0,28342.0,28372.0,50741,INR
2012-04-14,28502.0,28589.0,28342.0,0.0,50741,INR
2012-04-16,28349.0,28435.0,28235.0,28363.0,46926,INR
2012-04-17,28360.0,28390.0,28182.0,28294.0,49915,INR
2012-04-18,28311.0,28389.0,28301.0,28331.0,30437,INR
2012-04-19,28315.0,28564.0,28270.0,28443.0,55113,INR
2012-04-20,28449.0,28515.0,28401.0,28443.0,31303,INR
2012-04-21,28447.0,28509.0,28447.0,28499.0,2221,INR
2012-04-23,28465.0,28600.0,28426.0,28582.0,43109,INR
2012-04-24,28609.0,28790.0,28609.0,28710.0,44304,INR
2012-04-25,28696.0,28735.0,28532.0,28695.0,53317,INR
2012-04-26,28710.0,28919.0,28704.0,28904.0,33858,INR
2012-04-27,28874.0,28995.0,28869.0,28967.0,21070,INR
2012-04-28,29003.0,29003.0,28926.0,28994.0,2972,INR
2012-04-30,29016.0,29100.0,28833.0,29063.0,32090,INR
2012-05-01,29066.0,29186.0,28950.0,28976.0,10404,INR
2012-05-02,29021.0,29210.0,28933.0,29148.0,9241,INR
2012-05-03,29168.0,29216.0,29080.0,29144.0,3506,INR
2012-05-04,29155.0,29220.0,29050.0,29187.0,3070,INR
2012-05-05,29001.0,29900.0,29001.0,29247.0,605,INR
2012-05-07,29175.0,29175.0,28901.0,28957.0,74689,INR
2012-05-08,28940.0,28940.0,28628.0,28676.0,93809,INR
2012-05-09,28635.0,28749.0,28480.0,28704.0,91810,INR
2012-05-10,28667.0,28667.0,28347.0,28473.0,74888,INR
2012-05-11,28450.0,28478.0,28315.0,28385.0,66821,INR
2012-05-12,28370.0,28415.0,28351.0,28389.0,3338,INR
2012-05-14,28398.0,28411.0,28173.0,28264.0,77595,INR
2012-05-15,28250.0,28250.0,28020.0,28147.0,73499,INR
2012-05-16,28145.0,28228.0,27871.0,27975.0,108035,INR
2012-05-17,28030.0,28598.0,28029.0,28528.0,117587,INR
2012-05-18,28560.0,28976.0,28560.0,28911.0,104952,INR
2012-05-19,28920.0,28998.0,28920.0,28975.0,5683,INR
2012-05-21,28999.0,29169.0,28955.0,29033.0,81294,INR
2012-05-22,29052.0,29175.0,28852.0,29077.0,93969,INR
2012-05-23,29050.0,29069.0,28833.0,28963.0,98926,INR
2012-05-24,28980.0,29094.0,28857.0,28888.0,87646,INR
2012-05-25,28861.0,28944.0,28760.0,28906.0,67414,INR
2012-05-26,28900.0,28975.0,28900.0,28932.0,4282,INR
2012-05-28,28925.0,29046.0,28896.0,28974.0,31352,INR
2012-05-29,28995.0,29125.0,28835.0,28874.0,74505,INR
2012-05-30,28850.0,29185.0,28801.0,29145.0,74570,INR
2012-05-31,29111.0,29298.0,29070.0,29250.0,50649,INR
2012-06-01,29189.0,29794.0,28815.0,29703.0,19743,INR
