Date,Open,High,Low,Close,Volume,Currency
2011-12-13,2884.0,2897.0,2877.0,2886.0,155086,INR
2011-12-14,2884.0,2884.0,2784.0,2818.0,273723,INR
2011-12-15,2816.0,2816.0,2733.0,2751.0,272485,INR
2011-12-16,2753.0,2757.0,2713.0,2748.0,213810,INR
2011-12-17,2748.0,2765.0,2747.0,2762.0,19480,INR
2011-12-19,2756.0,2775.0,2746.0,2764.0,149255,INR
2011-12-20,2762.0,2783.0,2750.0,2780.0,94946,INR
2011-12-21,2783.0,2802.0,2764.0,2772.0,125436,INR
2011-12-22,2768.0,2772.0,2752.0,2760.0,83916,INR
2011-12-23,2760.0,2771.0,2760.0,2766.0,53656,INR
2011-12-24,2767.0,2770.0,2762.0,2768.0,4248,INR
2011-12-26,2769.0,2769.0,2761.0,2765.0,39105,INR
2011-12-27,2763.0,2763.0,2745.0,2752.0,35952,INR
2011-12-28,2750.0,2759.0,2705.0,2715.0,40489,INR
2011-12-29,2711.0,2711.0,2634.0,2668.0,27532,INR
2011-12-30,2700.0,2724.0,2651.0,2719.0,22765,INR
2011-12-31,2711.0,2718.0,2676.0,2706.0,10089,INR
2012-01-02,2741.0,2749.0,2736.0,2744.0,77861,INR
2012-01-03,2746.0,2784.0,2746.0,2773.0,193229,INR
2012-01-04,2774.0,2793.0,2761.0,2789.0,237658,INR
2012-01-05,2786.0,2792.0,2761.0,2787.0,227723,INR
2012-01-06,2788.0,2799.0,2773.0,2781.0,192411,INR
2012-01-07,2778.0,2782.0,2778.0,2781.0,5993,INR
2012-01-09,2779.0,2780.0,2763.0,2766.0,155403,INR
2012-01-10,2763.0,2772.0,2757.0,2763.0,138743,INR
2012-01-11,2769.0,2779.0,2766.0,2773.0,158236,INR
2012-01-12,2774.0,2787.0,2771.0,2775.0,129807,INR
2012-01-13,2771.0,2771.0,2745.0,2753.0,158677,INR
2012-01-14,2758.0,2760.0,2755.0,2758.0,8890,INR
2012-01-16,2758.0,2765.0,2755.0,2757.0,72744,INR
2012-01-17,2760.0,2783.0,2759.0,2766.0,145975,INR
2012-01-18,2764.0,2765.0,2744.0,2756.0,175155,INR
2012-01-19,2755.0,2764.0,2743.0,2746.0,124934,INR
2012-01-20,2749.0,2757.0,2734.0,2754.0,146253,INR
2012-01-21,2756.0,2761.0,2756.0,2758.0,9163,INR
2012-01-23,2758.0,2767.0,2750.0,2759.0,127685,INR
2012-01-24,2755.0,2761.0,2746.0,2750.0,111043,INR
2012-01-25,2747.0,2768.0,2729.0,2763.0,138336,INR
2012-01-27,2769.0,2800.0,2769.0,2796.0,83392,INR
2012-01-28,2795.0,2800.0,2795.0,2798.0,5864,INR
2012-01-30,2785.0,2802.0,2768.0,2796.0,19767,INR
2012-01-31,2803.0,2809.0,2783.0,2795.0,16628,INR
2012-02-01,2832.0,2841.0,2825.0,2828.0,109581,INR
2012-02-02,2828.0,2839.0,2821.0,2835.0,129562,INR
2012-02-03,2835.0,2840.0,2780.0,2785.0,186490,INR
2012-02-04,2782.0,2782.0,2766.0,2778.0,18624,INR
2012-02-06,2781.0,2791.0,2769.0,2781.0,123075,INR
2012-02-07,2776.0,2823.0,2774.0,2820.0,126869,INR
2012-02-08,2817.0,2827.0,2799.0,2803.0,165674,INR
2012-02-09,2809.0,2831.0,2806.0,2819.0,118802,INR
2012-02-10,2820.0,2825.0,2790.0,2809.0,159858,INR
2012-02-11,2806.0,2811.0,2802.0,2809.0,5486,INR
2012-02-13,2810.0,2810.0,2787.0,2797.0,104336,INR
2012-02-14,2795.0,2803.0,2781.0,2793.0,97198,INR
2012-02-15,2794.0,2808.0,2790.0,2799.0,101454,INR
2012-02-16,2797.0,2803.0,2788.0,2796.0,126393,INR
2012-02-17,2799.0,2803.0,2788.0,2791.0,82790,INR
2012-02-18,2792.0,2795.0,2791.0,2794.0,3747,INR
2012-02-20,2796.0,2801.0,2796.0,2799.0,17067,INR
2012-02-21,2800.0,2820.0,2796.0,2816.0,98729,INR
2012-02-22,2814.0,2839.0,2814.0,2833.0,77295,INR
2012-02-23,2839.0,2859.0,2836.0,2856.0,54503,INR
2012-02-24,2853.0,2853.0,2833.0,2835.0,39732,INR
2012-02-25,2832.0,2837.0,2831.0,2833.0,6671,INR
2012-02-27,2837.0,2842.0,2827.0,2830.0,27591,INR
2012-02-28,2829.0,2849.0,2828.0,2842.0,13585,INR
2012-02-29,2832.0,2855.0,2825.0,2839.0,6833,INR
2012-03-01,2796.0,2805.0,2776.0,2796.0,184312,INR
2012-03-02,2799.0,2807.0,2795.0,2800.0,103095,INR
2012-03-03,2803.0,2804.0,2802.0,2803.0,3190,INR
2012-03-05,2805.0,2811.0,2789.0,2797.0,100642,INR
2012-03-06,2793.0,2805.0,2779.0,2785.0,112423,INR
2012-03-07,2789.0,2795.0,2782.0,2790.0,81145,INR
2012-03-08,2793.0,2802.0,2793.0,2797.0,27960,INR
2012-03-09,2797.0,2804.0,2763.0,2800.0,215190,INR
2012-03-10,2800.0,2801.0,2798.0,2799.0,5926,INR
2012-03-12,2800.0,2806.0,2792.0,2798.0,98137,INR
2012-03-13,2799.0,2799.0,2780.0,2786.0,118624,INR
2012-03-14,2783.0,2783.0,2747.0,2751.0,160034,INR
2012-03-15,2750.0,2776.0,2738.0,2773.0,147641,INR
2012-03-16,2773.0,2833.0,2752.0,2784.0,179595,INR
2012-03-17,2786.0,2799.0,2777.0,2784.0,9340,INR
2012-03-19,2787.0,2793.0,2777.0,2788.0,135006,INR
2012-03-20,2785.0,2788.0,2775.0,2780.0,115758,INR
2012-03-21,2777.0,2790.0,2777.0,2784.0,100349,INR
2012-03-22,2785.0,2789.0,2779.0,2788.0,90351,INR
2012-03-23,2790.0,2799.0,2784.0,2796.0,109803,INR
2012-03-24,2795.0,2795.0,2791.0,2792.0,9390,INR
2012-03-26,2791.0,2816.0,2791.0,2812.0,73882,INR
2012-03-27,2812.0,2820.0,2805.0,2816.0,49698,INR
2012-03-28,2815.0,2842.0,2791.0,2804.0,34524,INR
2012-03-29,2818.0,2818.0,2783.0,2789.0,8671,INR
2012-03-30,2787.0,2799.0,2706.0,2785.0,6909,INR
2012-03-31,2788.0,2800.0,2739.0,2781.0,4883,INR
2012-04-02,2828.0,2836.0,2820.0,2829.0,96094,INR
2012-04-03,2828.0,2832.0,2820.0,2821.0,88069,INR
2012-04-04,2820.0,2820.0,2774.0,2779.0,172049,INR
2012-04-05,2784.0,2794.0,2783.0,2789.0,65687,INR
2012-04-07,2791.0,2800.0,2791.0,2798.0,11130,INR
2012-04-09,2799.0,2815.0,2799.0,2809.0,124689,INR
2012-04-10,2815.0,2836.0,2808.0,2835.0,155928,INR
2012-04-11,2830.0,2839.0,2827.0,2832.0,99242,INR
2012-04-12,2832.0,2844.0,2826.0,2841.0,144185,INR
2012-04-13,2840.0,2848.0,2826.0,2829.0,143390,INR
2012-04-14,2840.0,2848.0,2826.0,0.0,143390,INR
2012-04-16,2827.0,2831.0,2816.0,2826.0,105118,INR
2012-04-17,2825.0,2827.0,2809.0,2817.0,139654,INR
2012-04-18,2822.0,2825.0,2816.0,2821.0,35454,INR
2012-04-19,2819.0,2825.0,2807.0,2821.0,97956,INR
2012-04-20,2819.0,2825.0,2817.0,2820.0,27548,INR
2012-04-21,2822.0,2825.0,2820.0,2824.0,4121,INR
2012-04-23,2823.0,2835.0,2819.0,2828.0,79560,INR
2012-04-24,2828.0,2844.0,2828.0,2834.0,69983,INR
2012-04-25,2836.0,2842.0,2829.0,2839.0,50601,INR
2012-04-26,2840.0,2858.0,2832.0,2854.0,31460,INR
2012-04-27,2847.0,2880.0,2844.0,2871.0,20376,INR
2012-04-28,2850.0,2940.0,2850.0,2886.0,4159,INR
