Date,Open,High,Low,Close,Volume,Currency
2013-09-12,32.5,32.5,32.5,32.5,0,EUR
2013-09-19,32.2,32.2,32.2,32.2,0,EUR
2013-11-20,30.29,30.29,30.29,30.29,0,EUR
2013-11-21,30.15,30.15,30.15,30.15,0,EUR
2013-11-22,29.63,29.63,29.63,29.63,0,EUR
2013-11-24,29.63,29.63,29.63,29.63,0,EUR
2013-11-25,29.58,29.58,29.58,29.58,0,EUR
2013-11-26,29.55,29.55,29.55,29.55,0,EUR
2013-11-27,29.49,29.49,29.49,29.49,0,EUR
2013-11-28,29.42,29.42,29.42,29.42,0,EUR
2013-11-29,29.45,29.45,29.45,29.45,0,EUR
2013-12-01,29.45,29.45,29.45,29.45,0,EUR
2013-12-02,29.58,29.58,29.58,29.58,0,EUR
2013-12-03,29.12,29.12,29.12,29.12,0,EUR
2013-12-04,28.93,28.93,28.93,28.93,0,EUR
2013-12-05,29.05,29.05,29.05,29.05,0,EUR
2013-12-06,28.94,28.94,28.94,28.94,0,EUR
2013-12-08,28.94,28.94,28.94,28.94,0,EUR
2013-12-09,28.97,28.97,28.97,28.97,0,EUR
2013-12-10,28.95,28.95,28.95,28.95,0,EUR
2013-12-11,29.47,29.47,29.47,29.47,0,EUR
2013-12-12,29.31,29.31,29.31,29.31,0,EUR
2013-12-13,28.75,28.75,28.75,28.75,0,EUR
2013-12-15,28.75,28.75,28.75,28.75,0,EUR
2013-12-16,28.92,28.92,28.92,28.92,0,EUR
2013-12-17,29.18,29.18,29.18,29.18,0,EUR
2013-12-18,28.79,28.79,28.79,28.79,0,EUR
2013-12-19,28.71,28.71,28.71,28.71,0,EUR
2013-12-20,28.17,28.17,28.17,28.17,0,EUR
2013-12-22,28.17,28.17,28.17,28.17,0,EUR
2013-12-23,28.32,28.32,28.32,28.32,0,EUR
2013-12-26,28.32,28.32,28.32,28.32,0,EUR
2013-12-27,28.15,28.15,28.15,28.15,0,EUR
2013-12-29,28.15,28.15,28.15,28.15,0,EUR
2013-12-30,28.33,28.33,28.33,28.33,0,EUR
2014-01-02,28.07,28.07,28.07,28.07,0,EUR
2014-01-03,28.86,28.86,28.86,28.86,0,EUR
2014-01-05,28.86,28.86,28.86,28.86,0,EUR
2014-01-06,29.2,29.2,29.2,29.2,0,EUR
2014-01-07,29.3,29.3,29.3,29.3,0,EUR
2014-01-08,28.98,28.98,28.98,28.98,0,EUR
2014-01-09,28.97,28.97,28.97,28.97,0,EUR
2014-01-10,29.0,29.0,29.0,29.0,0,EUR
2014-01-12,29.0,29.0,29.0,29.0,0,EUR
2014-01-13,29.26,29.26,29.26,29.26,0,EUR
2014-01-14,29.5,29.5,29.5,29.5,0,EUR
2014-01-15,29.23,29.23,29.23,29.23,0,EUR
2014-01-16,29.32,29.32,29.32,29.32,0,EUR
2014-01-17,29.35,29.36,29.35,29.36,0,EUR
2014-01-19,29.36,29.36,29.36,29.36,0,EUR
2014-01-20,29.75,29.75,29.75,29.75,0,EUR
2014-01-21,29.79,29.79,29.79,29.79,0,EUR
2014-01-22,29.43,29.43,29.43,29.43,0,EUR
2014-01-23,29.42,29.42,29.42,29.42,0,EUR
2014-01-24,29.6,29.6,29.6,29.6,0,EUR
2014-01-26,29.6,29.6,29.6,29.6,0,EUR
