Date,Open,High,Low,Close,Currency
2015-02-20,29.05,29.05,29.05,29.05,USD
2015-02-23,29.03,29.03,29.03,29.03,USD
2015-02-24,29.08,29.08,29.08,29.08,USD
2015-02-25,29.14,29.14,29.14,29.14,USD
2015-02-26,29.13,29.13,29.13,29.13,USD
2015-02-27,29.03,29.03,29.03,29.03,USD
2015-03-02,29.26,29.26,29.26,29.26,USD
2015-03-03,29.07,29.07,29.07,29.07,USD
2015-03-04,28.99,28.99,28.99,28.99,USD
2015-03-05,29.1,29.1,29.1,29.1,USD
2015-03-06,28.71,28.71,28.71,28.71,USD
2015-03-09,28.75,28.75,28.75,28.75,USD
2015-03-10,28.31,28.31,28.31,28.31,USD
2015-03-11,28.3,28.3,28.3,28.3,USD
2015-03-12,28.52,28.52,28.52,28.52,USD
2015-03-13,28.4,28.4,28.4,28.4,USD
2015-03-16,28.76,28.76,28.76,28.76,USD
2015-03-17,28.69,28.69,28.69,28.69,USD
2015-03-18,29.02,29.02,29.02,29.02,USD
2015-03-19,28.96,28.96,28.96,28.96,USD
2015-03-20,29.14,29.14,29.14,29.14,USD
2015-03-23,29.05,29.05,29.05,29.05,USD
2015-03-24,28.93,28.93,28.93,28.93,USD
2015-03-25,28.48,28.48,28.48,28.48,USD
2015-03-26,28.49,28.49,28.49,28.49,USD
2015-03-27,28.64,28.64,28.64,28.64,USD
2015-03-30,28.92,28.92,28.92,28.92,USD
2015-03-31,28.67,28.67,28.67,28.67,USD
2015-04-01,28.54,28.54,28.54,28.54,USD
2015-04-02,28.65,28.65,28.65,28.65,USD
2015-04-06,28.84,28.84,28.84,28.84,USD
2015-04-07,28.88,28.88,28.88,28.88,USD
2015-04-08,29.05,29.05,29.05,29.05,USD
2015-04-09,29.21,29.21,29.21,29.21,USD
2015-04-10,29.28,29.28,29.28,29.28,USD
2015-04-13,29.2,29.2,29.2,29.2,USD
2015-04-14,29.22,29.22,29.22,29.22,USD
2015-04-15,29.37,29.37,29.37,29.37,USD
2015-04-16,29.44,29.44,29.44,29.44,USD
2015-04-17,29.2,29.2,29.2,29.2,USD
2015-04-20,29.38,29.38,29.38,29.38,USD
2015-04-21,29.42,29.42,29.42,29.42,USD
2015-04-22,29.54,29.54,29.54,29.54,USD
2015-04-23,29.6,29.6,29.6,29.6,USD
2015-04-24,29.55,29.55,29.55,29.55,USD
2015-04-27,29.41,29.41,29.41,29.41,USD
2015-04-28,29.44,29.44,29.44,29.44,USD
2015-04-29,29.39,29.39,29.39,29.39,USD
2015-04-30,29.08,29.08,29.08,29.08,USD
2015-05-01,29.37,29.37,29.37,29.37,USD
2015-05-04,29.44,29.44,29.44,29.44,USD
2015-05-05,29.1,29.1,29.1,29.1,USD
2015-05-06,29.02,29.02,29.02,29.02,USD
2015-05-07,29.11,29.11,29.11,29.11,USD
2015-05-08,29.43,29.43,29.43,29.43,USD
2015-05-11,29.35,29.35,29.35,29.35,USD
2015-05-12,29.28,29.28,29.28,29.28,USD
2015-05-13,29.3,29.3,29.3,29.3,USD
2015-05-14,29.61,29.61,29.61,29.61,USD
2015-05-15,29.69,29.69,29.69,29.69,USD
2015-05-18,29.81,29.81,29.81,29.81,USD
2015-05-19,29.75,29.75,29.75,29.75,USD
2015-05-20,29.79,29.79,29.79,29.79,USD
2015-05-21,29.9,29.9,29.9,29.9,USD
2015-05-22,29.86,29.86,29.86,29.86,USD
2015-05-26,29.53,29.53,29.53,29.53,USD
2015-05-27,29.81,29.81,29.81,29.81,USD
2015-05-28,29.73,29.73,29.73,29.73,USD
2015-05-29,29.63,29.63,29.63,29.63,USD
2015-06-01,29.67,29.67,29.67,29.67,USD
2015-06-02,29.71,29.71,29.71,29.71,USD
