Date,Open,High,Low,Close,Currency
2015-02-18,25.17,25.17,25.17,25.17,USD
2015-02-19,25.14,25.14,25.14,25.14,USD
2015-02-20,25.27,25.27,25.27,25.27,USD
2015-02-23,25.26,25.26,25.26,25.26,USD
2015-02-24,25.39,25.39,25.39,25.39,USD
2015-02-25,25.4,25.4,25.4,25.4,USD
2015-02-26,25.33,25.33,25.33,25.33,USD
2015-02-27,25.3,25.3,25.3,25.3,USD
2015-03-02,25.38,25.38,25.38,25.38,USD
2015-03-03,25.3,25.3,25.3,25.3,USD
2015-03-04,25.24,25.24,25.24,25.24,USD
2015-03-05,25.26,25.26,25.26,25.26,USD
2015-03-06,25.0,25.0,25.0,25.0,USD
2015-03-09,25.09,25.09,25.09,25.09,USD
2015-03-10,24.8,24.8,24.8,24.8,USD
2015-03-11,24.78,24.78,24.78,24.78,USD
2015-03-12,24.97,24.97,24.97,24.97,USD
2015-03-13,24.67,24.67,24.67,24.67,USD
2015-03-16,24.89,24.89,24.89,24.89,USD
2015-03-17,24.83,24.83,24.83,24.83,USD
2015-03-18,25.08,25.08,25.08,25.08,USD
2015-03-19,24.95,24.95,24.95,24.95,USD
2015-03-20,25.14,25.14,25.14,25.14,USD
2015-03-23,25.1,25.1,25.1,25.1,USD
2015-03-24,25.01,25.01,25.01,25.01,USD
2015-03-25,24.74,24.74,24.74,24.74,USD
2015-03-26,24.63,24.63,24.63,24.63,USD
2015-03-27,24.69,24.69,24.69,24.69,USD
2015-03-30,24.88,24.88,24.88,24.88,USD
2015-03-31,24.75,24.75,24.75,24.75,USD
2015-04-01,24.72,24.72,24.72,24.72,USD
2015-04-02,24.79,24.79,24.79,24.79,USD
2015-04-06,24.91,24.91,24.91,24.91,USD
2015-04-07,24.9,24.9,24.9,24.9,USD
2015-04-08,24.92,24.92,24.92,24.92,USD
2015-04-09,24.97,24.97,24.97,24.97,USD
2015-04-10,25.04,25.04,25.04,25.04,USD
2015-04-13,24.97,24.97,24.97,24.97,USD
2015-04-14,25.01,25.01,25.01,25.01,USD
2015-04-15,25.1,25.1,25.1,25.1,USD
2015-04-16,25.15,25.15,25.15,25.15,USD
2015-04-17,24.96,24.96,24.96,24.96,USD
2015-04-20,25.1,25.1,25.1,25.1,USD
2015-04-21,25.06,25.06,25.06,25.06,USD
2015-04-22,25.1,25.1,25.1,25.1,USD
2015-04-23,25.13,25.13,25.13,25.13,USD
2015-04-24,25.26,25.26,25.26,25.26,USD
2015-04-27,25.2,25.2,25.2,25.2,USD
2015-04-28,25.23,25.23,25.23,25.23,USD
2015-04-29,25.14,25.14,25.14,25.14,USD
2015-04-30,25.02,25.02,25.02,25.02,USD
2015-05-01,25.13,25.13,25.13,25.13,USD
2015-05-04,25.16,25.16,25.16,25.16,USD
2015-05-05,25.0,25.0,25.0,25.0,USD
2015-05-06,24.91,24.91,24.91,24.91,USD
2015-05-07,24.98,24.98,24.98,24.98,USD
2015-05-08,25.23,25.23,25.23,25.23,USD
2015-05-11,25.1,25.1,25.1,25.1,USD
2015-05-12,25.05,25.05,25.05,25.05,USD
2015-05-13,25.03,25.03,25.03,25.03,USD
2015-05-14,25.2,25.2,25.2,25.2,USD
2015-05-15,25.25,25.25,25.25,25.25,USD
2015-05-18,25.23,25.23,25.23,25.23,USD
2015-05-19,25.22,25.22,25.22,25.22,USD
2015-05-20,25.22,25.22,25.22,25.22,USD
2015-05-21,25.27,25.27,25.27,25.27,USD
2015-05-22,25.2,25.2,25.2,25.2,USD
2015-05-26,25.08,25.08,25.08,25.08,USD
2015-05-27,25.22,25.22,25.22,25.22,USD
2015-05-28,25.21,25.21,25.21,25.21,USD
2015-05-29,25.1,25.1,25.1,25.1,USD
2015-06-01,25.09,25.09,25.09,25.09,USD
