Date,Open,High,Low,Close,Currency
2015-02-20,37.82,37.82,37.82,37.82,USD
2015-02-23,37.78,37.78,37.78,37.78,USD
2015-02-24,37.93,37.93,37.93,37.93,USD
2015-02-25,37.88,37.88,37.88,37.88,USD
2015-02-26,37.76,37.76,37.76,37.76,USD
2015-02-27,37.67,37.67,37.67,37.67,USD
2015-03-02,37.84,37.84,37.84,37.84,USD
2015-03-03,37.65,37.65,37.65,37.65,USD
2015-03-04,37.52,37.52,37.52,37.52,USD
2015-03-05,37.49,37.49,37.49,37.49,USD
2015-03-06,36.96,36.96,36.96,36.96,USD
2015-03-09,37.09,37.09,37.09,37.09,USD
2015-03-10,36.56,36.56,36.56,36.56,USD
2015-03-11,36.5,36.5,36.5,36.5,USD
2015-03-12,36.94,36.94,36.94,36.94,USD
2015-03-13,36.56,36.56,36.56,36.56,USD
2015-03-16,37.1,37.1,37.1,37.1,USD
2015-03-17,37.0,37.0,37.0,37.0,USD
2015-03-18,37.45,37.45,37.45,37.45,USD
2015-03-19,37.26,37.26,37.26,37.26,USD
2015-03-20,37.53,37.53,37.53,37.53,USD
2015-03-23,37.44,37.44,37.44,37.44,USD
2015-03-24,37.23,37.23,37.23,37.23,USD
2015-03-25,36.84,36.84,36.84,36.84,USD
2015-03-26,36.71,36.71,36.71,36.71,USD
2015-03-27,36.85,36.85,36.85,36.85,USD
2015-03-30,37.29,37.29,37.29,37.29,USD
2015-03-31,36.99,36.99,36.99,36.99,USD
2015-04-01,36.85,36.85,36.85,36.85,USD
2015-04-02,36.98,36.98,36.98,36.98,USD
2015-04-06,37.22,37.22,37.22,37.22,USD
2015-04-07,37.22,37.22,37.22,37.22,USD
2015-04-08,37.27,37.27,37.27,37.27,USD
2015-04-09,37.43,37.43,37.43,37.43,USD
2015-04-10,37.61,37.61,37.61,37.61,USD
2015-04-13,37.42,37.42,37.42,37.42,USD
2015-04-14,37.48,37.48,37.48,37.48,USD
2015-04-15,37.71,37.71,37.71,37.71,USD
2015-04-16,37.67,37.67,37.67,37.67,USD
2015-04-17,37.32,37.32,37.32,37.32,USD
2015-04-20,37.68,37.68,37.68,37.68,USD
2015-04-21,37.63,37.63,37.63,37.63,USD
2015-04-22,37.79,37.79,37.79,37.79,USD
2015-04-23,37.82,37.82,37.82,37.82,USD
2015-04-24,37.89,37.89,37.89,37.89,USD
2015-04-27,37.74,37.74,37.74,37.74,USD
2015-04-28,37.9,37.9,37.9,37.9,USD
2015-04-29,37.77,37.77,37.77,37.77,USD
2015-04-30,37.42,37.42,37.42,37.42,USD
2015-05-01,37.73,37.73,37.73,37.73,USD
2015-05-04,37.83,37.83,37.83,37.83,USD
2015-05-05,37.4,37.4,37.4,37.4,USD
2015-05-06,37.26,37.26,37.26,37.26,USD
2015-05-07,37.35,37.35,37.35,37.35,USD
2015-05-08,37.82,37.82,37.82,37.82,USD
2015-05-11,37.66,37.66,37.66,37.66,USD
2015-05-12,37.54,37.54,37.54,37.54,USD
2015-05-13,37.5,37.5,37.5,37.5,USD
2015-05-14,37.86,37.86,37.86,37.86,USD
2015-05-15,37.93,37.93,37.93,37.93,USD
2015-05-18,37.97,37.97,37.97,37.97,USD
2015-05-19,37.95,37.95,37.95,37.95,USD
2015-05-20,37.97,37.97,37.97,37.97,USD
2015-05-21,38.06,38.06,38.06,38.06,USD
2015-05-22,37.94,37.94,37.94,37.94,USD
2015-05-26,37.56,37.56,37.56,37.56,USD
2015-05-27,37.84,37.84,37.84,37.84,USD
2015-05-28,37.8,37.8,37.8,37.8,USD
2015-05-29,37.55,37.55,37.55,37.55,USD
2015-06-01,37.57,37.57,37.57,37.57,USD
2015-06-02,37.55,37.55,37.55,37.55,USD
2015-06-03,37.62,37.62,37.62,37.62,USD
2015-06-04,37.32,37.32,37.32,37.32,USD
2015-06-05,37.23,37.23,37.23,37.23,USD
2015-06-08,37.04,37.04,37.04,37.04,USD
2015-06-09,37.06,37.06,37.06,37.06,USD
2015-06-10,37.45,37.45,37.45,37.45,USD
2015-06-11,37.56,37.56,37.56,37.56,USD
2015-06-12,37.26,37.26,37.26,37.26,USD
2015-06-15,37.1,37.1,37.1,37.1,USD
2015-06-16,37.25,37.25,37.25,37.25,USD
