Date,Open,High,Low,Close,Currency
1999-01-04,28.92,28.92,28.92,28.92,USD
1999-01-05,29.25,29.25,29.25,29.25,USD
1999-01-06,29.85,29.85,29.85,29.85,USD
1999-01-07,29.8,29.8,29.8,29.8,USD
1999-01-08,29.94,29.94,29.94,29.94,USD
1999-01-11,29.79,29.79,29.79,29.79,USD
1999-01-12,29.32,29.32,29.32,29.32,USD
1999-01-13,29.14,29.14,29.14,29.14,USD
1999-01-14,28.6,28.6,28.6,28.6,USD
1999-01-15,29.16,29.16,29.16,29.16,USD
1999-01-19,29.28,29.28,29.28,29.28,USD
1999-01-20,29.5,29.5,29.5,29.5,USD
1999-01-21,29.12,29.12,29.12,29.12,USD
1999-01-22,28.95,28.95,28.95,28.95,USD
1999-01-25,29.16,29.16,29.16,29.16,USD
1999-01-26,29.45,29.45,29.45,29.45,USD
1999-01-27,29.27,29.27,29.27,29.27,USD
1999-01-28,29.6,29.6,29.6,29.6,USD
1999-01-29,29.92,29.92,29.92,29.92,USD
1999-02-01,29.88,29.88,29.88,29.88,USD
1999-02-02,29.75,29.75,29.75,29.75,USD
1999-02-03,30.01,30.01,30.01,30.01,USD
1999-02-04,29.68,29.68,29.68,29.68,USD
1999-02-05,29.59,29.59,29.59,29.59,USD
1999-02-08,29.48,29.48,29.48,29.48,USD
1999-02-09,28.98,28.98,28.98,28.98,USD
1999-02-10,29.08,29.08,29.08,29.08,USD
1999-02-11,29.61,29.61,29.61,29.61,USD
1999-02-12,29.24,29.24,29.24,29.24,USD
1999-02-16,29.37,29.37,29.37,29.37,USD
1999-02-17,29.04,29.04,29.04,29.04,USD
1999-02-18,29.31,29.31,29.31,29.31,USD
1999-02-19,28.65,28.65,28.65,28.65,USD
1999-02-22,29.31,29.31,29.31,29.31,USD
1999-02-23,29.29,29.29,29.29,29.29,USD
1999-02-24,29.11,29.11,29.11,29.11,USD
1999-02-25,28.84,28.84,28.84,28.84,USD
1999-02-26,28.76,28.76,28.76,28.76,USD
1999-03-01,28.78,28.78,28.78,28.78,USD
1999-03-02,28.64,28.64,28.64,28.64,USD
1999-03-03,28.62,28.62,28.62,28.62,USD
1999-03-04,28.95,28.95,28.95,28.95,USD
1999-03-05,29.54,29.54,29.54,29.54,USD
1999-03-08,29.59,29.59,29.59,29.59,USD
1999-03-09,29.49,29.49,29.49,29.49,USD
1999-03-10,29.73,29.73,29.73,29.73,USD
1999-03-11,29.86,29.86,29.86,29.86,USD
1999-03-12,29.84,29.84,29.84,29.84,USD
1999-03-15,30.03,30.03,30.03,30.03,USD
1999-03-16,30.11,30.11,30.11,30.11,USD
1999-03-17,30.07,30.07,30.07,30.07,USD
1999-03-18,30.41,30.41,30.41,30.41,USD
1999-03-19,30.21,30.21,30.21,30.21,USD
1999-03-22,30.1,30.1,30.1,30.1,USD
1999-03-23,29.42,29.42,29.42,29.42,USD
1999-03-24,29.56,29.56,29.56,29.56,USD
1999-03-25,29.91,29.91,29.91,29.91,USD
1999-03-26,29.8,29.8,29.8,29.8,USD
1999-03-29,30.25,30.25,30.25,30.25,USD
1999-03-30,30.15,30.15,30.15,30.15,USD
1999-03-31,30.08,30.08,30.08,30.08,USD
1999-04-01,30.24,30.24,30.24,30.24,USD
1999-04-05,30.78,30.78,30.78,30.78,USD
1999-04-06,30.76,30.76,30.76,30.76,USD
1999-04-07,31.04,31.04,31.04,31.04,USD
1999-04-08,31.37,31.37,31.37,31.37,USD
1999-04-09,31.39,31.39,31.39,31.39,USD
1999-04-12,31.69,31.69,31.69,31.69,USD
1999-04-13,31.64,31.64,31.64,31.64,USD
1999-04-14,31.63,31.63,31.63,31.63,USD
1999-04-15,31.42,31.42,31.42,31.42,USD
1999-04-16,31.49,31.49,31.49,31.49,USD
1999-04-19,31.35,31.35,31.35,31.35,USD
1999-04-20,31.29,31.29,31.29,31.29,USD
1999-04-21,31.72,31.72,31.72,31.72,USD
1999-04-22,32.16,32.16,32.16,32.16,USD
1999-04-23,32.23,32.23,32.23,32.23,USD
1999-04-26,32.24,32.24,32.24,32.24,USD
1999-04-27,32.44,32.44,32.44,32.44,USD
1999-04-28,32.51,32.51,32.51,32.51,USD
1999-04-29,32.46,32.46,32.46,32.46,USD
1999-04-30,32.15,32.15,32.15,32.15,USD
1999-05-03,32.7,32.7,32.7,32.7,USD
1999-05-04,32.5,32.5,32.5,32.5,USD
1999-05-05,32.8,32.8,32.8,32.8,USD
1999-05-06,32.77,32.77,32.77,32.77,USD
1999-05-07,32.94,32.94,32.94,32.94,USD
1999-05-10,32.89,32.89,32.89,32.89,USD
1999-05-11,33.13,33.13,33.13,33.13,USD
1999-05-12,33.25,33.25,33.25,33.25,USD
1999-05-13,33.34,33.34,33.34,33.34,USD
1999-05-14,32.69,32.69,32.69,32.69,USD
1999-05-17,32.5,32.5,32.5,32.5,USD
1999-05-18,32.37,32.37,32.37,32.37,USD
1999-05-19,32.49,32.49,32.49,32.49,USD
1999-05-20,32.55,32.55,32.55,32.55,USD
1999-05-21,32.38,32.38,32.38,32.38,USD
1999-05-24,31.87,31.87,31.87,31.87,USD
1999-05-25,31.42,31.42,31.42,31.42,USD
1999-05-26,31.74,31.74,31.74,31.74,USD
1999-05-27,31.26,31.26,31.26,31.26,USD
1999-05-28,31.58,31.58,31.58,31.58,USD
1999-06-01,31.63,31.63,31.63,31.63,USD
1999-06-02,31.71,31.71,31.71,31.71,USD
1999-06-03,31.82,31.82,31.82,31.82,USD
1999-06-04,32.24,32.24,32.24,32.24,USD
1999-06-07,32.42,32.42,32.42,32.42,USD
1999-06-08,32.26,32.26,32.26,32.26,USD
1999-06-09,32.25,32.25,32.25,32.25,USD
1999-06-10,32.14,32.14,32.14,32.14,USD
1999-06-11,32.01,32.01,32.01,32.01,USD
1999-06-14,32.11,32.11,32.11,32.11,USD
1999-06-15,32.27,32.27,32.27,32.27,USD
1999-06-16,32.6,32.6,32.6,32.6,USD
1999-06-17,32.72,32.72,32.72,32.72,USD
1999-06-18,32.79,32.79,32.79,32.79,USD
1999-06-21,32.8,32.8,32.8,32.8,USD
1999-06-22,32.55,32.55,32.55,32.55,USD
1999-06-23,32.5,32.5,32.5,32.5,USD
1999-06-24,32.09,32.09,32.09,32.09,USD
1999-06-25,32.17,32.17,32.17,32.17,USD
1999-06-28,32.4,32.4,32.4,32.4,USD
1999-06-29,32.66,32.66,32.66,32.66,USD
1999-06-30,32.91,32.91,32.91,32.91,USD
1999-07-01,33.15,33.15,33.15,33.15,USD
1999-07-02,33.33,33.33,33.33,33.33,USD
1999-07-06,33.36,33.36,33.36,33.36,USD
1999-07-07,33.48,33.48,33.48,33.48,USD
1999-07-08,33.46,33.46,33.46,33.46,USD
1999-07-09,33.55,33.55,33.55,33.55,USD
1999-07-12,33.51,33.51,33.51,33.51,USD
1999-07-13,33.43,33.43,33.43,33.43,USD
1999-07-14,33.66,33.66,33.66,33.66,USD
1999-07-15,33.74,33.74,33.74,33.74,USD
1999-07-16,33.8,33.8,33.8,33.8,USD
1999-07-19,33.7,33.7,33.7,33.7,USD
1999-07-20,33.22,33.22,33.22,33.22,USD
1999-07-21,33.19,33.19,33.19,33.19,USD
1999-07-22,32.91,32.91,32.91,32.91,USD
1999-07-23,32.83,32.83,32.83,32.83,USD
1999-07-26,32.57,32.57,32.57,32.57,USD
1999-07-27,32.87,32.87,32.87,32.87,USD
1999-07-28,32.96,32.96,32.96,32.96,USD
1999-07-29,32.54,32.54,32.54,32.54,USD
1999-07-30,32.47,32.47,32.47,32.47,USD
1999-08-02,32.42,32.42,32.42,32.42,USD
1999-08-03,32.45,32.45,32.45,32.45,USD
1999-08-04,32.3,32.3,32.3,32.3,USD
1999-08-05,32.23,32.23,32.23,32.23,USD
1999-08-06,32.01,32.01,32.01,32.01,USD
1999-08-09,31.99,31.99,31.99,31.99,USD
1999-08-10,31.58,31.58,31.58,31.58,USD
1999-08-11,32.03,32.03,32.03,32.03,USD
1999-08-12,32.02,32.02,32.02,32.02,USD
1999-08-13,32.4,32.4,32.4,32.4,USD
1999-08-16,32.36,32.36,32.36,32.36,USD
1999-08-17,32.54,32.54,32.54,32.54,USD
1999-08-18,32.25,32.25,32.25,32.25,USD
1999-08-19,32.2,32.2,32.2,32.2,USD
1999-08-20,32.39,32.39,32.39,32.39,USD
1999-08-23,32.83,32.83,32.83,32.83,USD
1999-08-24,32.75,32.75,32.75,32.75,USD
1999-08-25,32.95,32.95,32.95,32.95,USD
1999-08-26,32.64,32.64,32.64,32.64,USD
1999-08-27,32.44,32.44,32.44,32.44,USD
1999-08-30,32.09,32.09,32.09,32.09,USD
1999-08-31,31.98,31.98,31.98,31.98,USD
1999-09-01,32.21,32.21,32.21,32.21,USD
1999-09-02,31.99,31.99,31.99,31.99,USD
1999-09-03,32.66,32.66,32.66,32.66,USD
1999-09-07,32.77,32.77,32.77,32.77,USD
1999-09-08,32.68,32.68,32.68,32.68,USD
1999-09-09,32.88,32.88,32.88,32.88,USD
1999-09-10,32.91,32.91,32.91,32.91,USD
1999-09-13,32.81,32.81,32.81,32.81,USD
1999-09-14,32.64,32.64,32.64,32.64,USD
1999-09-15,32.24,32.24,32.24,32.24,USD
1999-09-16,32.0,32.0,32.0,32.0,USD
1999-09-17,32.32,32.32,32.32,32.32,USD
1999-09-20,32.23,32.23,32.23,32.23,USD
1999-09-21,31.66,31.66,31.66,31.66,USD
1999-09-22,31.57,31.57,31.57,31.57,USD
1999-09-23,31.06,31.06,31.06,31.06,USD
1999-09-24,30.79,30.79,30.79,30.79,USD
1999-09-27,31.0,31.0,31.0,31.0,USD
1999-09-28,30.89,30.89,30.89,30.89,USD
1999-09-29,30.86,30.86,30.86,30.86,USD
1999-09-30,31.19,31.19,31.19,31.19,USD
1999-10-01,31.12,31.12,31.12,31.12,USD
1999-10-04,31.53,31.53,31.53,31.53,USD
1999-10-05,31.51,31.51,31.51,31.51,USD
1999-10-06,31.92,31.92,31.92,31.92,USD
1999-10-07,31.81,31.81,31.81,31.81,USD
1999-10-08,32.02,32.02,32.02,32.02,USD
1999-10-11,32.11,32.11,32.11,32.11,USD
1999-10-12,31.67,31.67,31.67,31.67,USD
1999-10-13,31.19,31.19,31.19,31.19,USD
1999-10-14,31.2,31.2,31.2,31.2,USD
1999-10-15,30.44,30.44,30.44,30.44,USD
1999-10-18,30.49,30.49,30.49,30.49,USD
1999-10-19,30.54,30.54,30.54,30.54,USD
1999-10-20,30.99,30.99,30.99,30.99,USD
1999-10-21,30.89,30.89,30.89,30.89,USD
1999-10-22,31.32,31.32,31.32,31.32,USD
1999-10-25,31.23,31.23,31.23,31.23,USD
1999-10-26,30.97,30.97,30.97,30.97,USD
1999-10-27,31.11,31.11,31.11,31.11,USD
1999-10-28,31.95,31.95,31.95,31.95,USD
1999-10-29,32.55,32.55,32.55,32.55,USD
1999-11-01,32.3,32.3,32.3,32.3,USD
1999-11-02,32.25,32.25,32.25,32.25,USD
1999-11-03,32.29,32.29,32.29,32.29,USD
1999-11-04,32.55,32.55,32.55,32.55,USD
1999-11-05,32.63,32.63,32.63,32.63,USD
1999-11-08,32.66,32.66,32.66,32.66,USD
1999-11-09,32.52,32.52,32.52,32.52,USD
1999-11-10,32.86,32.86,32.86,32.86,USD
1999-11-11,32.95,32.95,32.95,32.95,USD
1999-11-12,33.16,33.16,33.16,33.16,USD
1999-11-15,33.23,33.23,33.23,33.23,USD
1999-11-16,33.62,33.62,33.62,33.62,USD
1999-11-17,33.41,33.41,33.41,33.41,USD
1999-11-18,33.64,33.64,33.64,33.64,USD
1999-11-19,33.59,33.59,33.59,33.59,USD
1999-11-22,33.46,33.46,33.46,33.46,USD
1999-11-23,33.24,33.24,33.24,33.24,USD
1999-11-24,33.34,33.34,33.34,33.34,USD
1999-11-26,33.49,33.49,33.49,33.49,USD
1999-11-29,33.33,33.33,33.33,33.33,USD
1999-11-30,32.93,32.93,32.93,32.93,USD
1999-12-01,33.04,33.04,33.04,33.04,USD
1999-12-02,33.3,33.3,33.3,33.3,USD
1999-12-03,33.84,33.84,33.84,33.84,USD
