Date,Open,High,Low,Close,Currency
2015-02-19,37.97,37.97,37.97,37.97,USD
2015-02-20,38.17,38.17,38.17,38.17,USD
2015-02-23,38.11,38.11,38.11,38.11,USD
2015-02-24,38.27,38.27,38.27,38.27,USD
2015-02-25,38.26,38.26,38.26,38.26,USD
2015-02-26,38.2,38.2,38.2,38.2,USD
2015-02-27,38.11,38.11,38.11,38.11,USD
2015-03-02,38.28,38.28,38.28,38.28,USD
2015-03-03,38.08,38.08,38.08,38.08,USD
2015-03-04,37.94,37.94,37.94,37.94,USD
2015-03-05,37.92,37.92,37.92,37.92,USD
2015-03-06,37.34,37.34,37.34,37.34,USD
2015-03-09,37.38,37.38,37.38,37.38,USD
2015-03-10,36.79,36.79,36.79,36.79,USD
2015-03-11,36.7,36.7,36.7,36.7,USD
2015-03-12,37.08,37.08,37.08,37.08,USD
2015-03-13,36.45,36.45,36.45,36.45,USD
2015-03-16,36.97,36.97,36.97,36.97,USD
2015-03-17,36.88,36.88,36.88,36.88,USD
2015-03-18,37.36,37.36,37.36,37.36,USD
2015-03-19,37.22,37.22,37.22,37.22,USD
2015-03-20,37.53,37.53,37.53,37.53,USD
2015-03-23,37.46,37.46,37.46,37.46,USD
2015-03-24,37.27,37.27,37.27,37.27,USD
2015-03-25,36.85,36.85,36.85,36.85,USD
2015-03-26,36.75,36.75,36.75,36.75,USD
2015-03-27,36.85,36.85,36.85,36.85,USD
2015-03-30,37.23,37.23,37.23,37.23,USD
2015-03-31,36.88,36.88,36.88,36.88,USD
2015-04-01,36.77,36.77,36.77,36.77,USD
2015-04-02,36.97,36.97,36.97,36.97,USD
2015-04-06,37.21,37.21,37.21,37.21,USD
2015-04-07,37.23,37.23,37.23,37.23,USD
2015-04-08,37.32,37.32,37.32,37.32,USD
2015-04-09,37.52,37.52,37.52,37.52,USD
2015-04-10,37.7,37.7,37.7,37.7,USD
2015-04-13,37.51,37.51,37.51,37.51,USD
2015-04-14,37.57,37.57,37.57,37.57,USD
2015-04-15,37.85,37.85,37.85,37.85,USD
2015-04-16,37.89,37.89,37.89,37.89,USD
2015-04-17,37.5,37.5,37.5,37.5,USD
2015-04-20,37.88,37.88,37.88,37.88,USD
2015-04-21,37.88,37.88,37.88,37.88,USD
2015-04-22,38.06,38.06,38.06,38.06,USD
2015-04-23,38.14,38.14,38.14,38.14,USD
2015-04-24,38.24,38.24,38.24,38.24,USD
2015-04-27,38.06,38.06,38.06,38.06,USD
2015-04-28,38.18,38.18,38.18,38.18,USD
2015-04-29,38.0,38.0,38.0,38.0,USD
2015-04-30,37.69,37.69,37.69,37.69,USD
2015-05-01,38.09,38.09,38.09,38.09,USD
2015-05-04,38.18,38.18,38.18,38.18,USD
2015-05-05,37.74,37.74,37.74,37.74,USD
2015-05-06,37.56,37.56,37.56,37.56,USD
2015-05-07,37.63,37.63,37.63,37.63,USD
2015-05-08,38.16,38.16,38.16,38.16,USD
2015-05-11,37.96,37.96,37.96,37.96,USD
2015-05-12,37.86,37.86,37.86,37.86,USD
2015-05-13,37.85,37.85,37.85,37.85,USD
2015-05-14,38.24,38.24,38.24,38.24,USD
2015-05-15,38.28,38.28,38.28,38.28,USD
2015-05-18,38.31,38.31,38.31,38.31,USD
2015-05-19,38.22,38.22,38.22,38.22,USD
2015-05-20,38.27,38.27,38.27,38.27,USD
2015-05-21,38.43,38.43,38.43,38.43,USD
2015-05-22,38.31,38.31,38.31,38.31,USD
2015-05-26,37.86,37.86,37.86,37.86,USD
2015-05-27,38.19,38.19,38.19,38.19,USD
2015-05-28,38.1,38.1,38.1,38.1,USD
2015-05-29,37.9,37.9,37.9,37.9,USD
2015-06-01,37.9,37.9,37.9,37.9,USD
2015-06-02,37.95,37.95,37.95,37.95,USD
2015-06-03,38.02,38.02,38.02,38.02,USD
2015-06-04,37.73,37.73,37.73,37.73,USD
2015-06-05,37.58,37.58,37.58,37.58,USD
2015-06-08,37.37,37.37,37.37,37.37,USD
2015-06-09,37.38,37.38,37.38,37.38,USD
2015-06-10,37.86,37.86,37.86,37.86,USD
2015-06-11,37.96,37.96,37.96,37.96,USD
2015-06-12,37.67,37.67,37.67,37.67,USD
2015-06-15,37.52,37.52,37.52,37.52,USD
2015-06-16,37.69,37.69,37.69,37.69,USD
2015-06-17,37.77,37.77,37.77,37.77,USD
2015-06-18,38.13,38.13,38.13,38.13,USD
2015-06-19,37.82,37.82,37.82,37.82,USD
2015-06-22,38.05,38.05,38.05,38.05,USD
2015-06-23,38.07,38.07,38.07,38.07,USD
2015-06-24,37.77,37.77,37.77,37.77,USD
2015-06-25,37.63,37.63,37.63,37.63,USD
2015-06-26,37.56,37.56,37.56,37.56,USD
2015-06-29,36.76,36.76,36.76,36.76,USD
2015-06-30,36.83,36.83,36.83,36.83,USD
2015-07-01,37.02,37.02,37.02,37.02,USD
2015-07-02,36.98,36.98,36.98,36.98,USD
2015-07-06,36.8,36.8,36.8,36.8,USD
2015-07-07,37.01,37.01,37.01,37.01,USD
2015-07-08,36.42,36.42,36.42,36.42,USD
2015-07-09,36.52,36.52,36.52,36.52,USD
2015-07-10,36.94,36.94,36.94,36.94,USD
2015-07-13,37.29,37.29,37.29,37.29,USD
2015-07-14,37.52,37.52,37.52,37.52,USD
2015-07-15,37.43,37.43,37.43,37.43,USD
2015-07-16,37.71,37.71,37.71,37.71,USD
2015-07-17,37.76,37.76,37.76,37.76,USD
2015-07-20,37.74,37.74,37.74,37.74,USD
2015-07-21,37.56,37.56,37.56,37.56,USD
2015-07-22,37.41,37.41,37.41,37.41,USD
2015-07-23,37.22,37.22,37.22,37.22,USD
2015-07-24,36.73,36.73,36.73,36.73,USD
2015-07-27,36.62,36.62,36.62,36.62,USD
2015-07-28,37.2,37.2,37.2,37.2,USD
2015-07-29,37.44,37.44,37.44,37.44,USD
2015-07-30,37.51,37.51,37.51,37.51,USD
2015-07-31,37.53,37.53,37.53,37.53,USD
2015-08-03,37.43,37.43,37.43,37.43,USD
2015-08-04,37.32,37.32,37.32,37.32,USD
2015-08-05,37.49,37.49,37.49,37.49,USD
2015-08-06,37.25,37.25,37.25,37.25,USD
2015-08-07,37.16,37.16,37.16,37.16,USD
2015-08-10,37.66,37.66,37.66,37.66,USD
2015-08-11,37.31,37.31,37.31,37.31,USD
2015-08-12,37.4,37.4,37.4,37.4,USD
2015-08-13,37.24,37.24,37.24,37.24,USD
2015-08-14,37.3,37.3,37.3,37.3,USD
2015-08-17,37.46,37.46,37.46,37.46,USD
2015-08-18,37.35,37.35,37.35,37.35,USD
2015-08-19,37.01,37.01,37.01,37.01,USD
2015-08-20,36.28,36.28,36.28,36.28,USD
2015-08-21,35.25,35.25,35.25,35.25,USD
2015-08-24,33.93,33.93,33.93,33.93,USD
2015-08-25,33.48,33.48,33.48,33.48,USD
2015-08-26,34.6,34.6,34.6,34.6,USD
2015-08-27,35.42,35.42,35.42,35.42,USD
