Date,Open,High,Low,Close,Currency
2015-02-23,37.97,37.97,37.97,37.97,USD
2015-02-24,38.12,38.12,38.12,38.12,USD
2015-02-25,38.19,38.19,38.19,38.19,USD
2015-02-26,38.17,38.17,38.17,38.17,USD
2015-02-27,38.14,38.14,38.14,38.14,USD
2015-03-02,38.32,38.32,38.32,38.32,USD
2015-03-03,38.2,38.2,38.2,38.2,USD
2015-03-04,38.06,38.06,38.06,38.06,USD
2015-03-05,38.2,38.2,38.2,38.2,USD
2015-03-06,37.69,37.69,37.69,37.69,USD
2015-03-09,37.72,37.72,37.72,37.72,USD
2015-03-10,37.08,37.08,37.08,37.08,USD
2015-03-11,37.11,37.11,37.11,37.11,USD
2015-03-12,37.52,37.52,37.52,37.52,USD
2015-03-13,37.38,37.38,37.38,37.38,USD
2015-03-16,37.9,37.9,37.9,37.9,USD
2015-03-17,37.88,37.88,37.88,37.88,USD
2015-03-18,38.54,38.54,38.54,38.54,USD
2015-03-19,38.34,38.34,38.34,38.34,USD
2015-03-20,38.74,38.74,38.74,38.74,USD
2015-03-23,38.73,38.73,38.73,38.73,USD
2015-03-24,38.59,38.59,38.59,38.59,USD
2015-03-25,38.01,38.01,38.01,38.01,USD
2015-03-26,37.71,37.71,37.71,37.71,USD
2015-03-27,38.06,38.06,38.06,38.06,USD
2015-03-30,38.37,38.37,38.37,38.37,USD
2015-03-31,37.98,37.98,37.98,37.98,USD
2015-04-01,37.93,37.93,37.93,37.93,USD
2015-04-02,38.12,38.12,38.12,38.12,USD
2015-04-06,38.41,38.41,38.41,38.41,USD
2015-04-07,38.35,38.35,38.35,38.35,USD
2015-04-08,38.55,38.55,38.55,38.55,USD
2015-04-09,38.64,38.64,38.64,38.64,USD
2015-04-10,38.89,38.89,38.89,38.89,USD
2015-04-13,38.75,38.75,38.75,38.75,USD
2015-04-14,38.79,38.79,38.79,38.79,USD
2015-04-15,38.93,38.93,38.93,38.93,USD
2015-04-16,39.04,39.04,39.04,39.04,USD
2015-04-17,38.5,38.5,38.5,38.5,USD
2015-04-20,38.7,38.7,38.7,38.7,USD
2015-04-21,38.93,38.93,38.93,38.93,USD
2015-04-22,39.1,39.1,39.1,39.1,USD
2015-04-23,39.28,39.28,39.28,39.28,USD
2015-04-24,39.54,39.54,39.54,39.54,USD
2015-04-27,39.5,39.5,39.5,39.5,USD
2015-04-28,39.41,39.41,39.41,39.41,USD
2015-04-29,39.2,39.2,39.2,39.2,USD
2015-04-30,38.88,38.88,38.88,38.88,USD
2015-05-01,39.23,39.23,39.23,39.23,USD
2015-05-04,39.22,39.22,39.22,39.22,USD
2015-05-05,38.74,38.74,38.74,38.74,USD
2015-05-06,38.69,38.69,38.69,38.69,USD
2015-05-07,38.83,38.83,38.83,38.83,USD
2015-05-08,39.38,39.38,39.38,39.38,USD
2015-05-11,39.23,39.23,39.23,39.23,USD
2015-05-12,39.1,39.1,39.1,39.1,USD
2015-05-13,39.23,39.23,39.23,39.23,USD
2015-05-14,39.63,39.63,39.63,39.63,USD
2015-05-15,39.68,39.68,39.68,39.68,USD
2015-05-18,39.71,39.71,39.71,39.71,USD
2015-05-19,39.66,39.66,39.66,39.66,USD
2015-05-20,39.56,39.56,39.56,39.56,USD
2015-05-21,39.63,39.63,39.63,39.63,USD
2015-05-22,39.51,39.51,39.51,39.51,USD
2015-05-26,39.06,39.06,39.06,39.06,USD
2015-05-27,39.48,39.48,39.48,39.48,USD
2015-05-28,39.39,39.39,39.39,39.39,USD
2015-05-29,39.17,39.17,39.17,39.17,USD
2015-06-01,39.19,39.19,39.19,39.19,USD
2015-06-02,39.23,39.23,39.23,39.23,USD
2015-06-03,39.36,39.36,39.36,39.36,USD
2015-06-04,39.0,39.0,39.0,39.0,USD
2015-06-05,38.81,38.81,38.81,38.81,USD
2015-06-08,38.57,38.57,38.57,38.57,USD
2015-06-09,38.53,38.53,38.53,38.53,USD
2015-06-10,39.09,39.09,39.09,39.09,USD
2015-06-11,39.12,39.12,39.12,39.12,USD
2015-06-12,38.9,38.9,38.9,38.9,USD
2015-06-15,38.63,38.63,38.63,38.63,USD
2015-06-16,38.73,38.73,38.73,38.73,USD
2015-06-17,38.81,38.81,38.81,38.81,USD
2015-06-18,39.17,39.17,39.17,39.17,USD
2015-06-19,39.04,39.04,39.04,39.04,USD
2015-06-22,39.51,39.51,39.51,39.51,USD
2015-06-23,39.52,39.52,39.52,39.52,USD
2015-06-24,39.3,39.3,39.3,39.3,USD
2015-06-25,39.26,39.26,39.26,39.26,USD
2015-06-26,39.17,39.17,39.17,39.17,USD
2015-06-29,38.22,38.22,38.22,38.22,USD
2015-06-30,38.28,38.28,38.28,38.28,USD
2015-07-01,38.48,38.48,38.48,38.48,USD
2015-07-02,38.48,38.48,38.48,38.48,USD
2015-07-06,38.11,38.11,38.11,38.11,USD
2015-07-07,38.1,38.1,38.1,38.1,USD
2015-07-08,37.37,37.37,37.37,37.37,USD
2015-07-09,37.86,37.86,37.86,37.86,USD
2015-07-10,38.56,38.56,38.56,38.56,USD
2015-07-13,38.93,38.93,38.93,38.93,USD
2015-07-14,39.14,39.14,39.14,39.14,USD
2015-07-15,39.07,39.07,39.07,39.07,USD
2015-07-16,39.33,39.33,39.33,39.33,USD
2015-07-17,39.39,39.39,39.39,39.39,USD
2015-07-20,39.42,39.42,39.42,39.42,USD
2015-07-21,39.33,39.33,39.33,39.33,USD
2015-07-22,39.09,39.09,39.09,39.09,USD
2015-07-23,38.98,38.98,38.98,38.98,USD
2015-07-24,38.7,38.7,38.7,38.7,USD
2015-07-27,38.33,38.33,38.33,38.33,USD
2015-07-28,38.72,38.72,38.72,38.72,USD
2015-07-29,38.92,38.92,38.92,38.92,USD
2015-07-30,38.97,38.97,38.97,38.97,USD
2015-07-31,39.12,39.12,39.12,39.12,USD
2015-08-03,39.18,39.18,39.18,39.18,USD
2015-08-04,39.19,39.19,39.19,39.19,USD
2015-08-05,39.36,39.36,39.36,39.36,USD
2015-08-06,39.03,39.03,39.03,39.03,USD
2015-08-07,38.88,38.88,38.88,38.88,USD
2015-08-10,39.3,39.3,39.3,39.3,USD
2015-08-11,38.87,38.87,38.87,38.87,USD
2015-08-12,38.6,38.6,38.6,38.6,USD
2015-08-13,38.71,38.71,38.71,38.71,USD
2015-08-14,38.72,38.72,38.72,38.72,USD
2015-08-17,38.89,38.89,38.89,38.89,USD
2015-08-18,38.79,38.79,38.79,38.79,USD
2015-08-19,38.46,38.46,38.46,38.46,USD
2015-08-20,37.59,37.59,37.59,37.59,USD
2015-08-21,36.57,36.57,36.57,36.57,USD
2015-08-24,35.3,35.3,35.3,35.3,USD
2015-08-25,35.47,35.47,35.47,35.47,USD
2015-08-26,36.43,36.43,36.43,36.43,USD
2015-08-27,37.1,37.1,37.1,37.1,USD
2015-08-28,37.16,37.16,37.16,37.16,USD
2015-08-31,36.86,36.86,36.86,36.86,USD
2015-09-01,35.8,35.8,35.8,35.8,USD
2015-09-02,36.45,36.45,36.45,36.45,USD
2015-09-03,36.54,36.54,36.54,36.54,USD
2015-09-04,35.94,35.94,35.94,35.94,USD
2015-09-08,36.79,36.79,36.79,36.79,USD
2015-09-09,36.56,36.56,36.56,36.56,USD
2015-09-10,36.73,36.73,36.73,36.73,USD
2015-09-11,36.82,36.82,36.82,36.82,USD
2015-09-14,36.63,36.63,36.63,36.63,USD
2015-09-15,36.98,36.98,36.98,36.98,USD
2015-09-16,37.39,37.39,37.39,37.39,USD
2015-09-17,37.54,37.54,37.54,37.54,USD
2015-09-18,36.82,36.82,36.82,36.82,USD
2015-09-21,36.91,36.91,36.91,36.91,USD
2015-09-22,36.25,36.25,36.25,36.25,USD
2015-09-23,36.18,36.18,36.18,36.18,USD
2015-09-24,35.93,35.93,35.93,35.93,USD
2015-09-25,36.03,36.03,36.03,36.03,USD
2015-09-28,35.14,35.14,35.14,35.14,USD
2015-09-29,35.03,35.03,35.03,35.03,USD
2015-09-30,35.79,35.79,35.79,35.79,USD
2015-10-01,35.94,35.94,35.94,35.94,USD
2015-10-02,36.52,36.52,36.52,36.52,USD
2015-10-05,37.13,37.13,37.13,37.13,USD
