Date,Open,High,Low,Close,Currency
2015-02-18,12.87,12.87,12.87,12.87,USD
2015-02-19,12.86,12.86,12.86,12.86,USD
2015-02-20,12.85,12.85,12.85,12.85,USD
2015-02-23,12.88,12.88,12.88,12.88,USD
2015-02-24,12.94,12.94,12.94,12.94,USD
2015-02-25,12.95,12.95,12.95,12.95,USD
2015-02-26,12.91,12.91,12.91,12.91,USD
2015-02-27,12.94,12.94,12.94,12.94,USD
2015-03-02,12.88,12.88,12.88,12.88,USD
2015-03-03,12.87,12.87,12.87,12.87,USD
2015-03-04,12.88,12.88,12.88,12.88,USD
2015-03-05,12.88,12.88,12.88,12.88,USD
2015-03-06,12.8,12.8,12.8,12.8,USD
2015-03-09,12.82,12.82,12.82,12.82,USD
2015-03-10,12.84,12.84,12.84,12.84,USD
2015-03-11,12.85,12.85,12.85,12.85,USD
2015-03-12,12.85,12.85,12.85,12.85,USD
2015-03-13,12.83,12.83,12.83,12.83,USD
2015-03-16,12.85,12.85,12.85,12.85,USD
2015-03-17,12.86,12.86,12.86,12.86,USD
2015-03-18,12.95,12.95,12.95,12.95,USD
2015-03-19,12.93,12.93,12.93,12.93,USD
2015-03-20,12.96,12.96,12.96,12.96,USD
2015-03-23,12.97,12.97,12.97,12.97,USD
2015-03-24,13.0,13.0,13.0,13.0,USD
2015-03-25,12.97,12.97,12.97,12.97,USD
2015-03-26,12.92,12.92,12.92,12.92,USD
2015-03-27,12.95,12.95,12.95,12.95,USD
2015-03-30,12.94,12.94,12.94,12.94,USD
2015-03-31,12.96,12.96,12.96,12.96,USD
2015-04-01,13.01,13.01,13.01,13.01,USD
2015-04-02,12.98,12.98,12.98,12.98,USD
2015-04-06,13.0,13.0,13.0,13.0,USD
2015-04-07,13.01,13.01,13.01,13.01,USD
2015-04-08,13.0,13.0,13.0,13.0,USD
2015-04-09,12.97,12.97,12.97,12.97,USD
2015-04-10,12.96,12.96,12.96,12.96,USD
2015-04-13,12.98,12.98,12.98,12.98,USD
2015-04-14,13.0,13.0,13.0,13.0,USD
2015-04-15,13.0,13.0,13.0,13.0,USD
2015-04-16,13.01,13.01,13.01,13.01,USD
2015-04-17,13.02,13.02,13.02,13.02,USD
2015-04-20,13.0,13.0,13.0,13.0,USD
2015-04-21,12.99,12.99,12.99,12.99,USD
2015-04-22,12.95,12.95,12.95,12.95,USD
2015-04-23,12.97,12.97,12.97,12.97,USD
2015-04-24,13.0,13.0,13.0,13.0,USD
2015-04-27,12.99,12.99,12.99,12.99,USD
2015-04-28,12.95,12.95,12.95,12.95,USD
2015-04-29,12.92,12.92,12.92,12.92,USD
2015-04-30,12.92,12.92,12.92,12.92,USD
2015-05-01,12.87,12.87,12.87,12.87,USD
2015-05-04,12.86,12.86,12.86,12.86,USD
2015-05-05,12.84,12.84,12.84,12.84,USD
2015-05-06,12.8,12.8,12.8,12.8,USD
2015-05-07,12.82,12.82,12.82,12.82,USD
2015-05-08,12.86,12.86,12.86,12.86,USD
2015-05-11,12.78,12.78,12.78,12.78,USD
2015-05-12,12.78,12.78,12.78,12.78,USD
2015-05-13,12.77,12.77,12.77,12.77,USD
2015-05-14,12.8,12.8,12.8,12.8,USD
2015-05-15,12.85,12.85,12.85,12.85,USD
2015-05-18,12.8,12.8,12.8,12.8,USD
2015-05-19,12.76,12.76,12.76,12.76,USD
2015-05-20,12.77,12.77,12.77,12.77,USD
2015-05-21,12.81,12.81,12.81,12.81,USD
2015-05-22,12.8,12.8,12.8,12.8,USD
2015-05-26,12.83,12.83,12.83,12.83,USD
2015-05-27,12.83,12.83,12.83,12.83,USD
2015-05-28,12.83,12.83,12.83,12.83,USD
2015-05-29,12.84,12.84,12.84,12.84,USD
2015-06-01,12.8,12.8,12.8,12.8,USD
2015-06-02,12.75,12.75,12.75,12.75,USD
2015-06-03,12.69,12.69,12.69,12.69,USD
2015-06-04,12.72,12.72,12.72,12.72,USD
2015-06-05,12.66,12.66,12.66,12.66,USD
2015-06-08,12.68,12.68,12.68,12.68,USD
2015-06-09,12.65,12.65,12.65,12.65,USD
2015-06-10,12.61,12.61,12.61,12.61,USD
2015-06-11,12.67,12.67,12.67,12.67,USD
2015-06-12,12.66,12.66,12.66,12.66,USD
2015-06-15,12.67,12.67,12.67,12.67,USD
2015-06-16,12.7,12.7,12.7,12.7,USD
2015-06-17,12.7,12.7,12.7,12.7,USD
2015-06-18,12.7,12.7,12.7,12.7,USD
2015-06-19,12.74,12.74,12.74,12.74,USD
2015-06-22,12.68,12.68,12.68,12.68,USD
2015-06-23,12.66,12.66,12.66,12.66,USD
2015-06-24,12.68,12.68,12.68,12.68,USD
2015-06-25,12.66,12.66,12.66,12.66,USD
2015-06-26,12.62,12.62,12.62,12.62,USD
2015-06-29,12.7,12.7,12.7,12.7,USD
2015-06-30,12.68,12.68,12.68,12.68,USD
2015-07-01,12.64,12.64,12.64,12.64,USD
2015-07-02,12.67,12.67,12.67,12.67,USD
2015-07-06,12.72,12.72,12.72,12.72,USD
2015-07-07,12.74,12.74,12.74,12.74,USD
2015-07-08,12.77,12.77,12.77,12.77,USD
2015-07-09,12.71,12.71,12.71,12.71,USD
2015-07-10,12.65,12.65,12.65,12.65,USD
2015-07-13,12.62,12.62,12.62,12.62,USD
2015-07-14,12.65,12.65,12.65,12.65,USD
2015-07-15,12.68,12.68,12.68,12.68,USD
2015-07-16,12.68,12.68,12.68,12.68,USD
2015-07-17,12.68,12.68,12.68,12.68,USD
2015-07-20,12.66,12.66,12.66,12.66,USD
2015-07-21,12.68,12.68,12.68,12.68,USD
2015-07-22,12.68,12.68,12.68,12.68,USD
