Date,Open,High,Low,Close,Currency
2005-12-22,18.62,18.62,18.62,18.62,USD
2007-03-12,20.33,20.33,20.33,20.33,USD
2007-04-16,21.06,21.06,21.06,21.06,USD
2014-09-10,21.85,21.85,21.85,21.85,USD
2014-09-11,21.85,21.85,21.85,21.85,USD
2014-09-12,21.74,21.74,21.74,21.74,USD
2014-09-15,21.76,21.76,21.76,21.76,USD
2014-09-16,21.85,21.85,21.85,21.85,USD
2014-09-17,21.87,21.87,21.87,21.87,USD
2014-09-18,21.95,21.95,21.95,21.95,USD
2014-09-19,21.81,21.81,21.81,21.81,USD
2014-09-22,21.72,21.72,21.72,21.72,USD
2014-09-23,21.58,21.58,21.58,21.58,USD
2014-09-24,21.67,21.67,21.67,21.67,USD
2014-09-25,21.45,21.45,21.45,21.45,USD
2014-09-26,21.53,21.53,21.53,21.53,USD
2014-09-29,21.49,21.49,21.49,21.49,USD
2014-09-30,21.45,21.45,21.45,21.45,USD
2014-10-01,21.29,21.29,21.29,21.29,USD
2014-10-02,21.23,21.23,21.23,21.23,USD
2014-10-03,21.34,21.34,21.34,21.34,USD
2014-10-06,21.36,21.36,21.36,21.36,USD
2014-10-07,21.15,21.15,21.15,21.15,USD
2014-10-08,21.38,21.38,21.38,21.38,USD
2014-10-09,21.05,21.05,21.05,21.05,USD
2014-10-10,20.88,20.88,20.88,20.88,USD
2014-10-13,20.7,20.7,20.7,20.7,USD
2014-10-14,20.73,20.73,20.73,20.73,USD
2014-10-15,20.62,20.62,20.62,20.62,USD
2014-10-16,20.61,20.61,20.61,20.61,USD
2014-10-17,20.81,20.81,20.81,20.81,USD
2014-10-20,20.94,20.94,20.94,20.94,USD
2014-10-21,21.19,21.19,21.19,21.19,USD
2014-10-22,21.13,21.13,21.13,21.13,USD
2014-10-23,21.26,21.26,21.26,21.26,USD
2014-10-24,21.4,21.4,21.4,21.4,USD
2014-10-27,21.34,21.34,21.34,21.34,USD
2014-10-28,21.51,21.51,21.51,21.51,USD
2014-10-29,21.46,21.46,21.46,21.46,USD
2014-10-30,21.58,21.58,21.58,21.58,USD
2014-10-31,21.77,21.77,21.77,21.77,USD
2014-11-03,21.74,21.74,21.74,21.74,USD
2014-11-04,21.69,21.69,21.69,21.69,USD
2014-11-05,21.81,21.81,21.81,21.81,USD
2014-11-06,21.81,21.81,21.81,21.81,USD
2014-11-07,21.86,21.86,21.86,21.86,USD
2014-11-10,21.9,21.9,21.9,21.9,USD
2014-11-11,21.92,21.92,21.92,21.92,USD
2014-11-12,21.88,21.88,21.88,21.88,USD
2014-11-13,21.89,21.89,21.89,21.89,USD
2014-11-14,21.9,21.9,21.9,21.9,USD
2014-11-17,21.91,21.91,21.91,21.91,USD
2014-11-18,21.99,21.99,21.99,21.99,USD
2014-11-19,21.96,21.96,21.96,21.96,USD
2014-11-20,21.98,21.98,21.98,21.98,USD
2014-11-21,22.07,22.07,22.07,22.07,USD
2014-11-24,22.08,22.08,22.08,22.08,USD
2014-11-25,22.07,22.07,22.07,22.07,USD
2014-11-26,22.16,22.16,22.16,22.16,USD
2014-11-28,22.11,22.11,22.11,22.11,USD
2014-12-01,22.03,22.03,22.03,22.03,USD
2014-12-02,22.08,22.08,22.08,22.08,USD
2014-12-03,22.13,22.13,22.13,22.13,USD
2014-12-04,22.11,22.11,22.11,22.11,USD
2014-12-05,22.13,22.13,22.13,22.13,USD
2014-12-08,22.01,22.01,22.01,22.01,USD
2014-12-09,21.92,21.92,21.92,21.92,USD
2014-12-10,21.71,21.71,21.71,21.71,USD
2014-12-11,21.76,21.76,21.76,21.76,USD
2014-12-12,21.47,21.47,21.47,21.47,USD
2014-12-15,21.32,21.32,21.32,21.32,USD
2014-12-16,21.28,21.28,21.28,21.28,USD
2014-12-17,21.54,21.54,21.54,21.54,USD
2014-12-18,21.91,21.91,21.91,21.91,USD
2014-12-19,21.98,21.98,21.98,21.98,USD
2014-12-22,21.76,21.76,21.76,21.76,USD
2014-12-23,21.75,21.75,21.75,21.75,USD
2014-12-24,21.76,21.76,21.76,21.76,USD
2014-12-26,21.8,21.8,21.8,21.8,USD
2014-12-29,21.82,21.82,21.82,21.82,USD
2014-12-30,21.73,21.73,21.73,21.73,USD
2014-12-31,21.58,21.58,21.58,21.58,USD
2015-01-02,21.58,21.58,21.58,21.58,USD
2015-01-05,21.32,21.32,21.32,21.32,USD
2015-01-06,21.22,21.22,21.22,21.22,USD
2015-01-07,21.39,21.39,21.39,21.39,USD
2015-01-08,21.65,21.65,21.65,21.65,USD
2015-01-09,21.55,21.55,21.55,21.55,USD
2015-01-12,21.51,21.51,21.51,21.51,USD
2015-01-13,21.51,21.51,21.51,21.51,USD
2015-01-14,21.46,21.46,21.46,21.46,USD
2015-01-15,21.46,21.46,21.46,21.46,USD
2015-01-16,21.63,21.63,21.63,21.63,USD
2015-01-20,21.67,21.67,21.67,21.67,USD
2015-01-21,21.73,21.73,21.73,21.73,USD
2015-01-22,21.89,21.89,21.89,21.89,USD
2015-01-23,21.83,21.83,21.83,21.83,USD
2015-01-26,21.91,21.91,21.91,21.91,USD
2015-01-27,21.77,21.77,21.77,21.77,USD
2015-01-28,21.55,21.55,21.55,21.55,USD
2015-01-29,21.67,21.67,21.67,21.67,USD
2015-01-30,21.42,21.42,21.42,21.42,USD
2015-02-02,21.59,21.59,21.59,21.59,USD
2015-02-03,21.83,21.83,21.83,21.83,USD
2015-02-04,21.76,21.76,21.76,21.76,USD
2015-02-05,21.92,21.92,21.92,21.92,USD
2015-02-06,21.82,21.82,21.82,21.82,USD
2015-02-09,21.75,21.75,21.75,21.75,USD
2015-02-10,21.9,21.9,21.9,21.9,USD
2015-02-11,21.86,21.86,21.86,21.86,USD
2015-02-12,22.05,22.05,22.05,22.05,USD
2015-02-13,22.08,22.08,22.08,22.08,USD
2015-02-17,22.09,22.09,22.09,22.09,USD
2015-02-18,22.1,22.1,22.1,22.1,USD
2015-02-19,22.05,22.05,22.05,22.05,USD
2015-02-20,22.13,22.13,22.13,22.13,USD
2015-02-23,22.14,22.14,22.14,22.14,USD
2015-02-24,22.22,22.22,22.22,22.22,USD
2015-02-25,22.24,22.24,22.24,22.24,USD
2015-02-26,22.17,22.17,22.17,22.17,USD
2015-02-27,22.15,22.15,22.15,22.15,USD
2015-03-02,22.19,22.19,22.19,22.19,USD
2015-03-03,22.11,22.11,22.11,22.11,USD
2015-03-04,22.06,22.06,22.06,22.06,USD
2015-03-05,22.05,22.05,22.05,22.05,USD
2015-03-06,21.76,21.76,21.76,21.76,USD
2015-03-09,21.81,21.81,21.81,21.81,USD
2015-03-10,21.57,21.57,21.57,21.57,USD
2015-03-11,21.55,21.55,21.55,21.55,USD
2015-03-12,21.71,21.71,21.71,21.71,USD
2015-03-13,21.45,21.45,21.45,21.45,USD
2015-03-16,21.62,21.62,21.62,21.62,USD
2015-03-17,21.57,21.57,21.57,21.57,USD
2015-03-18,21.85,21.85,21.85,21.85,USD
2015-03-19,21.74,21.74,21.74,21.74,USD
2015-03-20,21.94,21.94,21.94,21.94,USD
2015-03-23,21.96,21.96,21.96,21.96,USD
2015-03-24,21.87,21.87,21.87,21.87,USD
2015-03-25,21.67,21.67,21.67,21.67,USD
2015-03-26,21.57,21.57,21.57,21.57,USD
2015-03-27,21.62,21.62,21.62,21.62,USD
2015-03-30,21.76,21.76,21.76,21.76,USD
2015-03-31,21.62,21.62,21.62,21.62,USD
2015-04-01,21.6,21.6,21.6,21.6,USD
2015-04-02,21.67,21.67,21.67,21.67,USD
2015-04-06,21.8,21.8,21.8,21.8,USD
2015-04-07,21.8,21.8,21.8,21.8,USD
2015-04-08,21.8,21.8,21.8,21.8,USD
2015-04-09,21.84,21.84,21.84,21.84,USD
2015-04-10,21.96,21.96,21.96,21.96,USD
2015-04-13,21.88,21.88,21.88,21.88,USD
2015-04-14,21.94,21.94,21.94,21.94,USD
2015-04-15,22.03,22.03,22.03,22.03,USD
2015-04-16,22.04,22.04,22.04,22.04,USD
2015-04-17,21.88,21.88,21.88,21.88,USD
2015-04-20,21.99,21.99,21.99,21.99,USD
2015-04-21,21.96,21.96,21.96,21.96,USD
2015-04-22,21.99,21.99,21.99,21.99,USD
2015-04-23,22.02,22.02,22.02,22.02,USD
2015-04-24,22.12,22.12,22.12,22.12,USD
2015-04-27,22.09,22.09,22.09,22.09,USD
2015-04-28,22.17,22.17,22.17,22.17,USD
2015-04-29,22.05,22.05,22.05,22.05,USD
2015-04-30,21.94,21.94,21.94,21.94,USD
2015-05-01,22.02,22.02,22.02,22.02,USD
2015-05-04,22.05,22.05,22.05,22.05,USD
2015-05-05,21.88,21.88,21.88,21.88,USD
2015-05-06,21.82,21.82,21.82,21.82,USD
2015-05-07,21.84,21.84,21.84,21.84,USD
2015-05-08,22.11,22.11,22.11,22.11,USD
2015-05-11,22.02,22.02,22.02,22.02,USD
2015-05-12,21.95,21.95,21.95,21.95,USD
2015-05-13,21.96,21.96,21.96,21.96,USD
2015-05-14,22.11,22.11,22.11,22.11,USD
2015-05-15,22.15,22.15,22.15,22.15,USD
2015-05-18,22.12,22.12,22.12,22.12,USD
2015-05-19,22.08,22.08,22.08,22.08,USD
2015-05-20,22.09,22.09,22.09,22.09,USD
